                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 9.5424,                 4.7873,                 4.1699,                0.00044,                0.00837,                0.00035,                0.00013,                 10.033,                 4.0165,                 3.7159,               0.067233,             0.00027122,             0.00027122,             1.7162e+09,                   5003
                      2,                 9.1586,                 3.8432,                 3.4584,                0.02492,                  0.021,                0.00555,                0.00138,                 8.6809,                 3.0302,                 3.0578,                0.03416,             0.00053138,             0.00053138,             1.7162e+09,                   5029
                      3,                 8.4929,                 3.2279,                 2.9278,                0.02962,                0.06176,                0.01127,                0.00324,                 8.2514,                 4.1254,                 2.6056,               0.001073,               0.000778,               0.000778,             1.7162e+09,                   5057
                      4,                 7.4896,                 2.7794,                 2.4915,                0.08908,                0.10351,                0.02955,                0.00997,                 7.1377,                 3.9604,                 2.2688,             0.00075998,             0.00075998,             0.00075998,             1.7162e+09,                   5086
                      5,                 6.4649,                 2.4356,                 2.1912,                0.52057,                0.12345,                0.08343,                0.02974,                 6.1044,                 2.0907,                 2.0029,             0.00075998,             0.00075998,             0.00075998,             1.7162e+09,                   5115
                      6,                 5.9641,                 2.2534,                 1.9931,                0.57886,                0.14971,                0.11135,                0.04422,                 5.5941,                 1.9666,                 1.8459,             0.00073967,             0.00073967,             0.00073967,             1.7162e+09,                   5143
                      7,                 5.5775,                 2.1287,                  1.883,                0.25131,                0.17028,                0.12599,                0.04921,                 5.4184,                 1.9297,                 1.7615,             0.00071935,             0.00071935,             0.00071935,             1.7162e+09,                   5172
                      8,                 5.2974,                 2.0437,                 1.8079,                0.26624,                0.17671,                0.15695,                0.06865,                 5.0572,                 1.7809,                 1.7094,             0.00069903,             0.00069903,             0.00069903,             1.7162e+09,                   5200
                      9,                 5.0812,                 1.9606,                 1.7303,                0.59169,                0.18778,                0.14817,                0.05993,                 4.9975,                 1.8038,                 1.6335,             0.00067871,             0.00067871,             0.00067871,             1.7162e+09,                   5229
                     10,                 4.9336,                  1.909,                 1.6762,                0.61532,                0.19375,                0.17728,                0.08216,                 4.6648,                 1.6662,                  1.603,             0.00065839,             0.00065839,             0.00065839,             1.7162e+09,                   5257
                     11,                 4.7474,                 1.8412,                 1.6272,                 0.6426,                0.20498,                0.19711,                0.09109,                 4.5354,                  1.632,                 1.5452,             0.00063807,             0.00063807,             0.00063807,             1.7162e+09,                   5286
                     12,                 4.5935,                 1.7874,                 1.5834,                0.65448,                0.20548,                0.20974,                0.09884,                 4.3882,                 1.5876,                  1.514,             0.00061776,             0.00061776,             0.00061776,             1.7162e+09,                   5314
