                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 6.7952,                 4.2599,                 3.6608,                0.00099,                0.01799,                0.00056,                0.00014,                 6.5005,                  3.348,                 2.4584,               0.072146,             0.00014556,             0.00014556,             1.7162e+09,                     26
                      2,                 6.0918,                 2.8673,                 2.2092,                0.00109,                0.01224,                0.00057,                0.00013,                 6.3689,                 4.7557,                 2.0205,               0.043294,             0.00029437,             0.00029437,             1.7162e+09,                     56
                      3,                 5.1342,                  2.426,                 1.8165,                0.01691,                 0.1992,                0.04517,                0.01376,                 5.6609,                 2.8566,                 1.8889,               0.014441,             0.00044118,             0.00044118,             1.7162e+09,                     88
                      4,                 4.4992,                 2.1483,                 1.6303,                0.36779,                0.07087,                0.08123,                0.03124,                 4.9019,                 2.8103,                 1.7848,             0.00050957,             0.00050957,             0.00050957,             1.7162e+09,                    120
                      5,                 4.1429,                 1.9944,                 1.5154,                0.42913,                0.14292,                0.14477,                0.06365,                 4.2302,                 2.2403,                 1.5048,             0.00050957,             0.00050957,             0.00050957,             1.7162e+09,                    164
                      6,                 3.8353,                 1.8616,                 1.4336,                0.39681,                0.21797,                0.20416,                0.09319,                 3.7136,                 1.8801,                 1.3909,             0.00050614,             0.00050614,             0.00050614,             1.7162e+09,                    208
                      7,                 3.5719,                 1.7517,                 1.3553,                 0.4714,                0.22156,                0.22006,                0.10104,                 3.5574,                 1.7932,                 1.3356,             0.00050271,             0.00050271,             0.00050271,             1.7162e+09,                    252
                      8,                 3.4043,                 1.6675,                 1.3083,                0.50115,                0.27947,                 0.2868,                0.14025,                 3.3292,                 1.6215,                 1.2959,             0.00049928,             0.00049928,             0.00049928,             1.7162e+09,                    286
                      9,                  3.265,                 1.5961,                 1.2698,                0.51683,                0.31158,                0.32229,                0.15384,                  3.206,                 1.5654,                 1.2427,             0.00049585,             0.00049585,             0.00049585,             1.7162e+09,                    314
                     10,                 3.1386,                 1.5332,                 1.2352,                0.48893,                0.31162,                0.31288,                0.14131,                 3.2757,                 1.5803,                 1.2146,             0.00049242,             0.00049242,             0.00049242,             1.7162e+09,                    342
                     11,                  3.072,                 1.4921,                  1.212,                0.54272,                0.33516,                0.35285,                 0.1775,                 2.9731,                  1.394,                 1.1967,             0.00048899,             0.00048899,             0.00048899,             1.7162e+09,                    370
                     12,                 2.9663,                 1.4472,                 1.1863,                0.53666,                 0.3298,                0.34593,                0.17296,                 3.0339,                 1.4536,                 1.2012,             0.00048555,             0.00048555,             0.00048555,             1.7162e+09,                    398
                     13,                 2.9192,                 1.4223,                 1.1748,                0.56789,                 0.3299,                 0.3534,                0.17906,                 2.9414,                 1.3587,                 1.2016,             0.00048212,             0.00048212,             0.00048212,             1.7162e+09,                    426
                     14,                 2.8728,                 1.3959,                 1.1636,                0.60126,                0.36907,                0.40289,                0.21069,                 2.8183,                 1.3119,                 1.1409,             0.00047869,             0.00047869,             0.00047869,             1.7162e+09,                    454
                     15,                 2.8129,                 1.3725,                 1.1481,                0.57414,                0.36908,                0.38581,                0.19642,                 2.8984,                  1.371,                 1.1324,             0.00047526,             0.00047526,             0.00047526,             1.7162e+09,                    489
                     16,                 2.7488,                  1.342,                 1.1365,                0.58704,                0.37905,                0.41301,                0.21783,                 2.7395,                  1.274,                 1.1163,             0.00047183,             0.00047183,             0.00047183,             1.7162e+09,                    533
                     17,                 2.7041,                 1.3152,                  1.127,                0.61606,                0.37592,                0.40974,                0.21804,                 2.6696,                 1.2571,                 1.1272,              0.0004684,              0.0004684,              0.0004684,             1.7162e+09,                    563
                     18,                 2.6567,                 1.2947,                 1.1182,                0.62132,                0.38362,                0.42304,                0.22557,                 2.6736,                 1.2511,                  1.096,             0.00046497,             0.00046497,             0.00046497,             1.7162e+09,                    591
                     19,                 2.6415,                 1.2841,                 1.1093,                0.61442,                 0.3839,                0.42206,                0.23098,                 2.6591,                  1.252,                 1.1019,             0.00046154,             0.00046154,             0.00046154,             1.7162e+09,                    619
                     20,                 2.6273,                 1.2762,                 1.1038,                0.66673,                0.37091,                0.42719,                0.24149,                 2.5715,                 1.2409,                 1.1068,             0.00045811,             0.00045811,             0.00045811,             1.7162e+09,                    648
                     21,                 2.5717,                 1.2563,                 1.0968,                0.60193,                0.37976,                0.40855,                0.22287,                 2.5925,                 1.2513,                 1.1164,             0.00045467,             0.00045467,             0.00045467,             1.7162e+09,                    676
                     22,                 2.5921,                 1.2532,                 1.0965,                0.63702,                 0.4009,                0.44707,                0.25039,                 2.5058,                 1.1814,                 1.0798,             0.00045124,             0.00045124,             0.00045124,             1.7162e+09,                    704
                     23,                 2.5318,                 1.2214,                 1.0837,                0.65722,                0.41093,                0.46447,                0.26028,                 2.5084,                 1.1691,                 1.0698,             0.00044781,             0.00044781,             0.00044781,             1.7162e+09,                    732
                     24,                 2.5334,                 1.2317,                 1.0865,                0.64245,                0.40422,                0.45124,                0.25733,                 2.4536,                 1.2068,                 1.0775,             0.00044438,             0.00044438,             0.00044438,             1.7162e+09,                    760
                     25,                  2.486,                 1.2106,                 1.0762,                0.66448,                0.42039,                 0.4721,                0.26883,                 2.4484,                 1.1372,                 1.0629,             0.00044095,             0.00044095,             0.00044095,             1.7162e+09,                    788
                     26,                 2.4713,                  1.198,                  1.075,                0.65167,                0.40848,                0.45694,                0.25966,                 2.4277,                 1.1465,                 1.0636,             0.00043752,             0.00043752,             0.00043752,             1.7162e+09,                    816
                     27,                 2.4457,                  1.187,                 1.0689,                0.66501,                0.39321,                0.45315,                0.26131,                 2.3991,                 1.1689,                 1.0624,             0.00043409,             0.00043409,             0.00043409,             1.7162e+09,                    844
                     28,                  2.446,                 1.1757,                 1.0639,                0.66528,                 0.4307,                  0.491,                0.28184,                 2.3855,                 1.1257,                 1.0512,             0.00043066,             0.00043066,             0.00043066,             1.7162e+09,                    872
                     29,                  2.425,                 1.1708,                  1.066,                0.67022,                0.42498,                0.47108,                0.26446,                 2.3909,                 1.1486,                 1.0572,             0.00042723,             0.00042723,             0.00042723,             1.7162e+09,                    900
                     30,                 2.4147,                 1.1661,                 1.0624,                0.65957,                0.42784,                0.48408,                0.28426,                 2.3594,                 1.1025,                 1.0455,             0.00042379,             0.00042379,             0.00042379,             1.7162e+09,                    928
                     31,                 2.4048,                 1.1605,                 1.0578,                0.65675,                0.40602,                0.45366,                0.25962,                 2.4779,                 1.1497,                 1.0839,             0.00042036,             0.00042036,             0.00042036,             1.7162e+09,                    956
                     32,                  2.378,                 1.1449,                  1.053,                0.66968,                0.43427,                0.48712,                0.28167,                  2.377,                 1.0963,                  1.048,             0.00041693,             0.00041693,             0.00041693,             1.7162e+09,                    984
                     33,                 2.3621,                 1.1384,                 1.0481,                0.67423,                0.44664,                0.50057,                0.28939,                 2.3656,                 1.0904,                 1.0382,              0.0004135,              0.0004135,              0.0004135,             1.7162e+09,                   1011
