                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 5.1925,                 3.4102,                 2.5164,                 0.0088,                0.15293,                0.01002,                0.00252,                  5.049,                 3.1938,                  2.038,               0.066982,             2.0165e-05,             2.0165e-05,             1.7162e+09,                   7769
                      2,                 4.5713,                 2.6754,                 1.8374,                0.56329,                 0.0724,                0.06079,                 0.0193,                 4.3846,                 2.4004,                 1.7588,               0.033669,             4.0309e-05,             4.0309e-05,             1.7162e+09,                   7801
                      3,                 4.2103,                 2.4387,                  1.731,                0.31797,                0.14522,                0.09602,                0.03456,                   4.01,                 2.1713,                 1.6754,             0.00035524,             6.0251e-05,             6.0251e-05,             1.7162e+09,                   7829
                      4,                 3.9363,                 2.2592,                 1.6542,                0.34722,                 0.1581,                0.12138,                0.04746,                 3.8101,                 2.0451,                 1.6283,             6.0127e-05,             6.0127e-05,             6.0127e-05,             1.7162e+09,                   7858
                      5,                 3.7651,                 2.1507,                 1.6146,                0.33985,                0.18204,                0.14057,                0.05729,                  3.684,                 1.9796,                 1.5783,             6.0127e-05,             6.0127e-05,             6.0127e-05,             1.7162e+09,                   7886
                      6,                 3.6385,                 2.0833,                 1.5653,                0.35762,                0.19934,                0.15694,                0.06675,                 3.5362,                 1.9049,                 1.5393,             5.9825e-05,             5.9825e-05,             5.9825e-05,             1.7162e+09,                   7915
                      7,                 3.5413,                 2.0188,                 1.5334,                0.35513,                0.20509,                0.16665,                0.06756,                 3.4842,                  1.868,                 1.5131,             5.9523e-05,             5.9523e-05,             5.9523e-05,             1.7162e+09,                   7943
                      8,                 3.4518,                 1.9698,                 1.5071,                0.38082,                0.22308,                0.18504,                 0.0798,                 3.3532,                 1.8063,                 1.4634,             5.9221e-05,             5.9221e-05,             5.9221e-05,             1.7162e+09,                   7972
                      9,                 3.3625,                  1.926,                 1.4771,                0.37048,                0.22771,                0.18712,                0.07831,                 3.3237,                  1.812,                 1.4843,             5.8919e-05,             5.8919e-05,             5.8919e-05,             1.7162e+09,                   8000
                     10,                 3.3086,                 1.9017,                 1.4531,                0.39737,                0.23097,                0.21124,                 0.0915,                 3.1981,                 1.7666,                 1.4176,             5.8617e-05,             5.8617e-05,             5.8617e-05,             1.7162e+09,                   8028
                     11,                 3.2343,                 1.8585,                 1.4329,                0.40205,                0.24091,                0.21683,                0.09525,                 3.1638,                 1.7395,                 1.4303,             5.8315e-05,             5.8315e-05,             5.8315e-05,             1.7162e+09,                   8057
                     12,                 3.1603,                 1.8216,                 1.4088,                0.42976,                0.24101,                0.21998,                0.09428,                 3.1488,                 1.7192,                 1.4278,             5.8013e-05,             5.8013e-05,             5.8013e-05,             1.7162e+09,                   8085
                     13,                 3.1031,                 1.7956,                 1.3861,                0.43939,                0.25379,                0.23642,                0.10634,                 3.0658,                 1.7026,                 1.3746,              5.771e-05,              5.771e-05,              5.771e-05,             1.7162e+09,                   8113
                     14,                 3.0607,                 1.7722,                 1.3724,                0.43456,                0.27297,                0.25289,                0.11635,                 2.9731,                 1.6382,                 1.3439,             5.7408e-05,             5.7408e-05,             5.7408e-05,             1.7162e+09,                   8142
                     15,                 3.0171,                 1.7494,                 1.3575,                0.42809,                0.27573,                0.25743,                0.11849,                 2.9347,                 1.6301,                 1.3377,             5.7106e-05,             5.7106e-05,             5.7106e-05,             1.7162e+09,                   8170
                     16,                 2.9549,                 1.7157,                 1.3347,                0.46458,                0.28285,                0.27462,                0.12868,                  2.897,                 1.5921,                 1.3238,             5.6804e-05,             5.6804e-05,             5.6804e-05,             1.7162e+09,                   8198
                     17,                 2.9101,                 1.6866,                 1.3195,                0.48188,                0.28705,                 0.2838,                0.13401,                 2.8583,                 1.5704,                 1.3141,             5.6502e-05,             5.6502e-05,             5.6502e-05,             1.7162e+09,                   8227
                     18,                 2.8694,                 1.6635,                  1.313,                 0.5036,                 0.2941,                0.29159,                0.13421,                 2.8296,                 1.5578,                 1.3065,               5.62e-05,               5.62e-05,               5.62e-05,             1.7162e+09,                   8255
                     19,                 2.8383,                 1.6529,                 1.2973,                 0.4855,                0.28877,                0.28916,                0.13682,                 2.8091,                 1.5545,                 1.3039,             5.5898e-05,             5.5898e-05,             5.5898e-05,             1.7162e+09,                   8284
                     20,                 2.8194,                 1.6301,                 1.2899,                0.50797,                0.29316,                0.30611,                0.14747,                 2.7599,                 1.5186,                 1.2845,             5.5596e-05,             5.5596e-05,             5.5596e-05,             1.7162e+09,                   8312
                     21,                 2.7807,                 1.6105,                  1.278,                0.50012,                0.29805,                0.30167,                0.14227,                 2.7424,                 1.5195,                 1.2812,             5.5293e-05,             5.5293e-05,             5.5293e-05,             1.7162e+09,                   8340
                     22,                 2.7405,                 1.5921,                 1.2674,                0.52087,                0.30648,                0.32006,                0.15427,                 2.7115,                 1.5075,                 1.2576,             5.4991e-05,             5.4991e-05,             5.4991e-05,             1.7162e+09,                   8368
                     23,                 2.7066,                  1.582,                 1.2589,                0.52668,                0.31192,                0.32996,                0.16239,                 2.6635,                 1.4742,                 1.2396,             5.4689e-05,             5.4689e-05,             5.4689e-05,             1.7162e+09,                   8397
                     24,                 2.6902,                 1.5639,                 1.2509,                0.53391,                0.31733,                0.34008,                 0.1665,                 2.6298,                 1.4569,                 1.2213,             5.4387e-05,             5.4387e-05,             5.4387e-05,             1.7162e+09,                   8425
                     25,                 2.6616,                 1.5482,                 1.2429,                0.54033,                  0.318,                0.33262,                0.16301,                 2.6434,                 1.4713,                 1.2492,             5.4085e-05,             5.4085e-05,             5.4085e-05,             1.7162e+09,                   8454
