                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 8.0802,                 4.3738,                 3.7164,                0.00063,                0.01147,                0.00033,                  8e-05,                 7.7646,                  3.538,                 2.5478,               0.072031,             3.0769e-05,             3.0769e-05,             1.7162e+09,                  18244
                      2,                 7.4592,                 3.1065,                 2.3271,                0.00157,                 0.0284,                0.00097,                0.00024,                 7.4848,                 3.3856,                 2.1442,               0.043062,             6.2017e-05,             6.2017e-05,             1.7162e+09,                  18274
                      3,                 6.9189,                 2.8133,                 2.0394,                0.00635,                0.10515,                0.00422,                0.00106,                 7.4793,                  3.305,                 2.1039,               0.014093,             9.2634e-05,             9.2634e-05,             1.7162e+09,                  18305
                      4,                 6.3752,                 2.5788,                 1.8883,                0.48656,                0.05467,                0.03834,                0.01174,                 6.7162,                 2.7459,                 1.8879,             0.00010663,             0.00010663,             0.00010663,             1.7162e+09,                  18337
                      5,                 5.9371,                 2.3896,                 1.7851,                0.28993,                0.11086,                0.08829,                 0.0335,                 5.9205,                 2.3129,                 1.7422,             0.00010663,             0.00010663,             0.00010663,             1.7162e+09,                  18368
                      6,                 5.6236,                 2.2647,                 1.7197,                0.30339,                0.14724,                0.11093,                0.04381,                 5.6144,                 2.1456,                 1.6739,             0.00010554,             0.00010554,             0.00010554,             1.7162e+09,                  18396
                      7,                 5.3675,                 2.1604,                 1.6599,                0.37839,                0.17147,                0.13853,                0.05456,                 5.3267,                 2.0422,                 1.6139,             0.00010445,             0.00010445,             0.00010445,             1.7162e+09,                  18425
                      8,                 5.1889,                 2.0893,                 1.6167,                0.35713,                0.18849,                0.15697,                0.06628,                 5.1028,                 1.9798,                 1.5575,             0.00010336,             0.00010336,             0.00010336,             1.7162e+09,                  18453
                      9,                  5.032,                 2.0368,                 1.5774,                0.40165,                0.20347,                0.17046,                0.07126,                 4.9256,                 1.9348,                 1.5466,             0.00010227,             0.00010227,             0.00010227,             1.7162e+09,                  18482
                     10,                 4.8985,                 1.9747,                 1.5415,                0.40543,                0.20712,                0.18361,                0.07771,                 4.8227,                 1.8772,                 1.4943,             0.00010119,             0.00010119,             0.00010119,             1.7162e+09,                  18510
                     11,                 4.7943,                 1.9313,                 1.5123,                 0.4282,                0.23768,                 0.2103,                0.09099,                 4.6731,                  1.801,                 1.4664,              0.0001001,              0.0001001,              0.0001001,             1.7162e+09,                  18538
                     12,                 4.6464,                 1.8793,                 1.4825,                0.45018,                0.23621,                0.21699,                0.09302,                 4.6426,                 1.7787,                 1.4683,              9.901e-05,              9.901e-05,              9.901e-05,             1.7162e+09,                  18566
                     13,                 4.5562,                 1.8518,                 1.4585,                0.43249,                0.23365,                0.21524,                0.09127,                 4.5904,                 1.7831,                 1.4711,             9.7922e-05,             9.7922e-05,             9.7922e-05,             1.7162e+09,                  18594
                     14,                 4.4779,                 1.8193,                 1.4439,                0.46683,                 0.2566,                0.24862,                 0.1151,                 4.3773,                 1.6753,                    1.4,             9.6834e-05,             9.6834e-05,             9.6834e-05,             1.7162e+09,                  18622
