                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 5.9526,                 20.303,                 4.3205,                  8e-05,                0.00427,                  4e-05,                  1e-05,                 6.0698,                 17.977,                 4.0614,               0.077058,               5.75e-05,               5.75e-05,             1.7157e+09,                     38
                      2,                 6.1092,                 17.399,                 4.1399,                 0.0001,                 0.0052,                  5e-05,                  2e-05,                 6.3035,                 16.701,                 3.8501,               0.053115,             0.00011517,             0.00011517,             1.7157e+09,                     93
                      3,                 6.2149,                 16.026,                 3.9196,                0.00012,                0.00638,                  6e-05,                  2e-05,                 6.4478,                  16.13,                 3.6553,                0.02917,             0.00017047,             0.00017047,             1.7157e+09,                    152
                      4,                 6.1817,                 14.299,                 3.7235,                0.00012,                0.00627,                  6e-05,                  2e-05,                 6.4912,                 15.989,                 3.5586,              0.0052234,             0.00022339,             0.00022339,             1.7157e+09,                    210
                      5,                 6.0729,                 12.757,                 3.5772,                0.00013,                0.00667,                  7e-05,                  2e-05,                 6.4906,                 15.771,                 3.5379,              0.0002302,              0.0002302,              0.0002302,             1.7157e+09,                    269
                      6,                  5.755,                 11.638,                 3.4009,                0.00296,                0.01854,                0.00194,                0.00048,                   6.11,                 13.396,                 3.3182,              0.0002302,              0.0002302,              0.0002302,             1.7157e+09,                    329
                      7,                 5.4954,                 10.478,                 3.1636,                 0.3615,                0.02236,                0.00646,                0.00171,                 5.4638,                 10.581,                 2.9819,             0.00022525,             0.00022525,             0.00022525,             1.7157e+09,                    390
                      8,                 5.3749,                 10.143,                 3.0057,                0.44161,                0.02758,                0.01518,                0.00444,                 5.3561,                 9.3423,                 2.7649,              0.0002203,              0.0002203,              0.0002203,             1.7157e+09,                    453
                      9,                 5.3267,                 9.5711,                 2.8326,                0.49291,                0.03152,                0.02113,                0.00596,                 5.2368,                 8.8669,                 2.6434,             0.00021535,             0.00021535,             0.00021535,             1.7157e+09,                    516
                     10,                 5.1849,                 9.3581,                 2.7883,                0.14725,                 0.0335,                0.02245,                0.00652,                 5.2044,                 8.6297,                 2.5864,              0.0002104,              0.0002104,              0.0002104,             1.7157e+09,                    578
                     11,                 5.2152,                 9.3509,                 2.7219,                0.10639,                0.03746,                0.02099,                0.00575,                 5.1784,                 8.4747,                 2.5636,             0.00020545,             0.00020545,             0.00020545,             1.7157e+09,                    641
                     12,                  5.098,                 9.1069,                 2.6808,                0.47228,                0.03524,                0.02269,                0.00623,                 5.1207,                 8.3528,                 2.5347,              0.0002005,              0.0002005,              0.0002005,             1.7157e+09,                    703
                     13,                 5.0663,                 8.7857,                 2.6221,                0.44329,                0.04153,                0.02413,                0.00673,                 5.0562,                 8.1586,                 2.4838,             0.00019555,             0.00019555,             0.00019555,             1.7157e+09,                    765
                     14,                 4.9545,                 8.6114,                  2.568,                0.11495,                0.04279,                0.02537,                0.00703,                 5.0091,                 8.0913,                 2.4682,              0.0001906,              0.0001906,              0.0001906,             1.7157e+09,                    827
                     15,                  4.941,                 8.4939,                 2.5705,                0.07456,                0.07805,                0.02759,                 0.0076,                 4.9796,                 7.9967,                 2.4516,             0.00018565,             0.00018565,             0.00018565,             1.7157e+09,                    889
                     16,                 4.8566,                 8.2542,                 2.5155,                0.08162,                0.08009,                0.02921,                0.00833,                 4.8978,                  7.901,                 2.4132,              0.0001807,              0.0001807,              0.0001807,             1.7157e+09,                    952
                     17,                 4.8804,                 8.2035,                 2.4908,                0.07485,                0.09738,                0.03175,                0.00927,                 4.8595,                 7.7508,                 2.4024,             0.00017575,             0.00017575,             0.00017575,             1.7157e+09,                   1014
                     18,                 4.7894,                 8.1468,                  2.453,                0.08088,                0.10183,                0.03486,                0.01042,                 4.7972,                 7.6364,                 2.3733,              0.0001708,              0.0001708,              0.0001708,             1.7157e+09,                   1075
                     19,                 4.7278,                 8.0033,                 2.4363,                0.08878,                 0.1006,                 0.0379,                0.01104,                 4.7463,                 7.4991,                 2.3309,             0.00016585,             0.00016585,             0.00016585,             1.7157e+09,                   1137
                     20,                 4.6558,                 7.8496,                  2.415,                0.09238,                0.10601,                0.03839,                0.01137,                 4.7262,                 7.4263,                  2.327,              0.0001609,              0.0001609,              0.0001609,             1.7157e+09,                   1200
                     21,                 4.6696,                 7.8803,                 2.3939,                0.10248,                0.10433,                0.04043,                0.01227,                  4.695,                 7.3984,                 2.3063,             0.00015595,             0.00015595,             0.00015595,             1.7157e+09,                   1261
                     22,                 4.6519,                 7.7313,                 2.3968,                0.10515,                0.10197,                0.04256,                0.01328,                 4.6644,                 7.2975,                 2.2895,               0.000151,               0.000151,               0.000151,             1.7157e+09,                   1323
                     23,                 4.6084,                 7.6951,                 2.3632,                0.09235,                0.11804,                0.04432,                0.01397,                 4.6117,                 7.1934,                 2.2447,             0.00014605,             0.00014605,             0.00014605,             1.7157e+09,                   1385
                     24,                 4.6132,                 7.8061,                 2.3525,                0.09596,                0.11607,                0.04547,                0.01454,                 4.5851,                 7.1325,                 2.2339,              0.0001411,              0.0001411,              0.0001411,             1.7157e+09,                   1446
                     25,                  4.582,                 7.8532,                 2.3514,                0.10183,                0.11809,                0.04651,                0.01509,                 4.5948,                 7.1372,                 2.2558,             0.00013615,             0.00013615,             0.00013615,             1.7157e+09,                   1508
                     26,                 4.5233,                 7.5135,                  2.306,                0.10689,                 0.1148,                0.04749,                 0.0153,                 4.5344,                 7.0264,                 2.2096,              0.0001312,              0.0001312,              0.0001312,             1.7157e+09,                   1569
                     27,                 4.5303,                 7.5914,                 2.3171,                 0.1133,                0.11784,                0.04898,                0.01565,                 4.5353,                 7.0423,                 2.2056,             0.00012625,             0.00012625,             0.00012625,             1.7157e+09,                   1631
                     28,                 4.5016,                 7.4694,                 2.3007,                0.11391,                 0.1156,                0.04987,                0.01595,                 4.5202,                 6.9619,                 2.1935,              0.0001213,              0.0001213,              0.0001213,             1.7157e+09,                   1692
                     29,                 4.5004,                 7.5672,                 2.2902,                0.10627,                0.12855,                0.05067,                0.01617,                 4.5023,                 6.9002,                 2.1919,             0.00011635,             0.00011635,             0.00011635,             1.7157e+09,                   1754
                     30,                 4.4787,                 7.4506,                 2.3031,                0.10799,                0.12732,                0.05264,                0.01711,                 4.4766,                 6.8488,                 2.1701,              0.0001114,              0.0001114,              0.0001114,             1.7157e+09,                   1815
                     31,                 4.5008,                  7.566,                 2.2713,                0.12033,                0.12215,                0.05302,                0.01697,                 4.4774,                 6.8445,                 2.1731,             0.00010645,             0.00010645,             0.00010645,             1.7157e+09,                   1877
                     32,                 4.4821,                 7.3824,                 2.2793,                 0.1146,                0.12987,                0.05494,                0.01758,                 4.4554,                 6.7932,                 2.1612,              0.0001015,              0.0001015,              0.0001015,             1.7157e+09,                   1938
                     33,                 4.4513,                 7.2099,                 2.2696,                0.12229,                0.12294,                0.05539,                0.01796,                 4.4336,                 6.7739,                 2.1466,              9.655e-05,              9.655e-05,              9.655e-05,             1.7157e+09,                   1999
                     34,                 4.4237,                 7.3877,                 2.2505,                0.14067,                0.11173,                0.05613,                0.01777,                 4.4369,                 6.7838,                 2.1479,               9.16e-05,               9.16e-05,               9.16e-05,             1.7157e+09,                   2060
                     35,                 4.3883,                 7.2906,                 2.2455,                0.12565,                0.12751,                0.05815,                0.01871,                 4.4123,                 6.7176,                  2.127,              8.665e-05,              8.665e-05,              8.665e-05,             1.7157e+09,                   2120
                     36,                 4.4098,                 7.2434,                  2.237,                0.14548,                  0.113,                0.05883,                  0.019,                 4.4061,                  6.724,                 2.1359,               8.17e-05,               8.17e-05,               8.17e-05,             1.7157e+09,                   2180
                     37,                 4.3761,                 7.1959,                 2.2126,                0.12871,                0.12686,                0.05917,                0.01888,                  4.399,                 6.7069,                 2.1286,              7.675e-05,              7.675e-05,              7.675e-05,             1.7157e+09,                   2241
                     38,                 4.4223,                 7.2422,                  2.231,                0.14139,                0.11874,                0.06101,                0.01956,                  4.386,                  6.704,                 2.1187,               7.18e-05,               7.18e-05,               7.18e-05,             1.7157e+09,                   2301
