                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 3.1804,                 4.9483,                 4.2607,                 0.0004,                0.00779,                0.00022,                  6e-05,                 3.2313,                 3.9226,                 3.8764,               0.067271,             1.9229e-05,             1.9229e-05,             1.7162e+09,                   1172
                      2,                  3.233,                 4.4283,                 3.8977,                0.00044,                0.00854,                0.00065,                0.00027,                 3.3743,                  3.789,                 3.5664,               0.033956,             3.7841e-05,             3.7841e-05,             1.7162e+09,                   1198
                      3,                 3.2767,                 4.1688,                 3.6087,                0.00133,                0.01173,                0.00069,                0.00019,                  3.377,                 3.6843,                 3.4182,             0.00064028,             5.5484e-05,             5.5484e-05,             1.7162e+09,                   1224
                      4,                 3.2516,                 4.0021,                 3.4911,                0.00194,                0.02624,                0.00114,                0.00031,                 3.2259,                 3.4215,                 3.3934,             5.4357e-05,             5.4357e-05,             5.4357e-05,             1.7162e+09,                   1250
                      5,                  3.194,                 3.8419,                 3.3972,                0.00942,                0.01208,                0.00226,                0.00057,                 3.0812,                 3.2122,                 3.2971,             5.4357e-05,             5.4357e-05,             5.4357e-05,             1.7162e+09,                   1277
                      6,                 3.1145,                 3.6789,                 3.3121,                0.02105,                0.01188,                0.00373,                 0.0009,                 3.0024,                 3.1034,                  3.197,             5.2904e-05,             5.2904e-05,             5.2904e-05,             1.7162e+09,                   1304
                      7,                 3.0519,                  3.533,                 3.2274,                0.03125,                0.01881,                0.00586,                0.00135,                 2.9496,                 3.0171,                 3.0988,             5.1451e-05,             5.1451e-05,             5.1451e-05,             1.7162e+09,                   1331
                      8,                  2.984,                 3.4148,                 3.1421,                0.04278,                  0.028,                0.00805,                0.00191,                 2.8886,                 2.9427,                 2.9942,             4.9997e-05,             4.9997e-05,             4.9997e-05,             1.7162e+09,                   1359
                      9,                 2.9214,                 3.3079,                  3.064,                 0.0503,                0.03129,                0.00964,                0.00232,                 2.8538,                 2.8963,                 2.9217,             4.8544e-05,             4.8544e-05,             4.8544e-05,             1.7162e+09,                   1386
                     10,                 2.8758,                 3.2295,                  2.997,                0.05536,                0.03867,                0.01167,                  0.003,                 2.8004,                 2.8362,                 2.8426,             4.7091e-05,             4.7091e-05,             4.7091e-05,             1.7162e+09,                   1414
                     11,                 2.8476,                 3.1638,                 2.9341,                0.06016,                0.04503,                0.01411,                0.00385,                 2.7625,                 2.8049,                 2.7667,             4.5638e-05,             4.5638e-05,             4.5638e-05,             1.7162e+09,                   1442
                     12,                 2.7941,                 3.0941,                 2.8712,                0.06644,                0.04725,                 0.0155,                0.00421,                 2.7105,                  2.734,                 2.7139,             4.4184e-05,             4.4184e-05,             4.4184e-05,             1.7162e+09,                   1470
                     13,                 2.7726,                 3.0346,                 2.8178,                0.07442,                0.04932,                0.01716,                0.00487,                 2.6651,                 2.6613,                 2.6739,             4.2731e-05,             4.2731e-05,             4.2731e-05,             1.7162e+09,                   1497
                     14,                 2.7062,                 2.9684,                 2.7827,                0.07153,                0.05606,                0.01805,                0.00517,                 2.6256,                 2.6445,                 2.6172,             4.1278e-05,             4.1278e-05,             4.1278e-05,             1.7162e+09,                   1525
                     15,                 2.6717,                 2.9221,                 2.7301,                0.07569,                0.05874,                0.01899,                0.00539,                 2.5909,                 2.5889,                 2.5723,             3.9825e-05,             3.9825e-05,             3.9825e-05,             1.7162e+09,                   1553
                     16,                  2.649,                 2.8747,                 2.6918,                0.08351,                0.05834,                0.02096,                0.00596,                 2.5641,                 2.5392,                 2.5416,             3.8372e-05,             3.8372e-05,             3.8372e-05,             1.7162e+09,                   1581
                     17,                 2.6289,                 2.8383,                 2.6624,                0.08413,                0.06333,                0.02262,                0.00637,                 2.5431,                 2.5166,                 2.5059,             3.6918e-05,             3.6918e-05,             3.6918e-05,             1.7162e+09,                   1608
                     18,                 2.5892,                 2.7815,                 2.6286,                0.08887,                0.06637,                0.02334,                 0.0068,                 2.5227,                 2.4874,                 2.4805,             3.5465e-05,             3.5465e-05,             3.5465e-05,             1.7162e+09,                   1636
                     19,                 2.5767,                 2.7672,                 2.6019,                0.09447,                0.06829,                0.02584,                0.00759,                 2.5006,                 2.4543,                 2.4549,             3.4012e-05,             3.4012e-05,             3.4012e-05,             1.7162e+09,                   1664
                     20,                 2.5556,                 2.7339,                 2.5749,                0.09877,                0.07027,                0.02633,                0.00761,                 2.4824,                  2.436,                  2.423,             3.2559e-05,             3.2559e-05,             3.2559e-05,             1.7162e+09,                   1692
                     21,                 2.5194,                  2.693,                  2.551,                0.10148,                0.07513,                0.02861,                0.00824,                 2.4595,                 2.4073,                 2.4087,             3.1105e-05,             3.1105e-05,             3.1105e-05,             1.7162e+09,                   1720
                     22,                 2.5091,                 2.6774,                 2.5261,                 0.1073,                0.07967,                0.03126,                0.00896,                 2.4442,                 2.3921,                 2.3841,             2.9652e-05,             2.9652e-05,             2.9652e-05,             1.7162e+09,                   1748
                     23,                 2.4876,                 2.6528,                 2.5044,                0.12329,                0.07712,                0.03378,                0.01006,                 2.4268,                 2.3488,                 2.3741,             2.8199e-05,             2.8199e-05,             2.8199e-05,             1.7162e+09,                   1776
                     24,                 2.4555,                 2.6253,                 2.4869,                0.12475,                0.08064,                0.03435,                0.01031,                 2.4165,                 2.3421,                 2.3581,             2.6746e-05,             2.6746e-05,             2.6746e-05,             1.7162e+09,                   1804
                     25,                 2.4449,                 2.6186,                 2.4692,                0.12364,                0.08598,                0.03631,                 0.0111,                 2.3901,                 2.3191,                 2.3336,             2.5292e-05,             2.5292e-05,             2.5292e-05,             1.7162e+09,                   1832
                     26,                 2.4244,                 2.5858,                 2.4438,                0.12761,                0.08827,                0.03931,                0.01183,                 2.3725,                 2.2967,                 2.3152,             2.3839e-05,             2.3839e-05,             2.3839e-05,             1.7162e+09,                   1860
                     27,                  2.406,                 2.5656,                 2.4327,                0.13301,                0.09115,                0.04063,                0.01258,                 2.3608,                 2.2961,                  2.296,             2.2386e-05,             2.2386e-05,             2.2386e-05,             1.7162e+09,                   1888
                     28,                 2.3872,                 2.5579,                 2.4137,                0.13982,                0.09104,                0.04254,                0.01334,                 2.3453,                 2.2712,                 2.2848,             2.0933e-05,             2.0933e-05,             2.0933e-05,             1.7162e+09,                   1916
                     29,                  2.383,                 2.5473,                    2.4,                0.14075,                 0.0947,                0.04437,                0.01392,                 2.3296,                 2.2618,                 2.2657,             1.9479e-05,             1.9479e-05,             1.9479e-05,             1.7162e+09,                   1943
                     30,                 2.3624,                 2.5361,                 2.3819,                0.47764,                0.09541,                0.04613,                0.01463,                 2.3137,                 2.2428,                 2.2559,             1.8026e-05,             1.8026e-05,             1.8026e-05,             1.7162e+09,                   1971
                     31,                 2.3424,                 2.5146,                 2.3751,                0.48091,                0.09762,                0.04703,                0.01514,                 2.3046,                 2.2325,                 2.2522,             1.6573e-05,             1.6573e-05,             1.6573e-05,             1.7162e+09,                   2002
                     32,                 2.3308,                 2.5048,                 2.3626,                0.48469,                0.09758,                0.04814,                0.01549,                 2.2988,                 2.2288,                 2.2442,              1.512e-05,              1.512e-05,              1.512e-05,             1.7162e+09,                   2030
                     33,                  2.325,                  2.499,                 2.3583,                0.48439,                0.09916,                0.04896,                0.01569,                 2.2864,                 2.2201,                 2.2297,             1.3666e-05,             1.3666e-05,             1.3666e-05,             1.7162e+09,                   2058
