                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 5.9291,                 3.0287,                 2.1773,                0.20475,                0.10271,                0.06653,                0.01732,                 5.1048,                 2.3043,                 1.7403,               0.066987,             0.00017252,             0.00017252,             1.7162e+09,                     30
                      2,                 4.6197,                 2.1923,                 1.6221,                0.33305,                0.18677,                0.15004,                  0.057,                 4.2998,                 1.9467,                 1.5193,               0.033823,             0.00034239,             0.00034239,             1.7162e+09,                     62
                      3,                 4.0197,                 1.9428,                 1.4625,                0.35078,                0.24343,                0.21324,                0.08396,                 3.8043,                 1.7488,                 1.3951,             0.00065631,             0.00050882,             0.00050882,             1.7162e+09,                     93
                      4,                 3.6842,                 1.7974,                 1.3576,                0.44975,                0.25949,                0.25564,                0.11341,                 3.5043,                 1.6385,                 1.3151,             0.00050443,             0.00050443,             0.00050443,             1.7162e+09,                    123
                      5,                 3.4199,                 1.6916,                 1.2819,                0.43869,                0.28383,                0.26693,                0.11771,                 3.3692,                 1.6359,                 1.3246,             0.00050443,             0.00050443,             0.00050443,             1.7162e+09,                    153
                      6,                 3.2298,                 1.5961,                 1.2387,                 0.5086,                0.32296,                0.33712,                 0.1644,                 3.1027,                 1.4817,                 1.1962,             0.00049928,             0.00049928,             0.00049928,             1.7162e+09,                    183
                      7,                 3.1054,                 1.5383,                 1.1999,                0.53567,                0.33677,                0.35313,                0.17712,                 2.9818,                 1.4079,                 1.1851,             0.00049413,             0.00049413,             0.00049413,             1.7162e+09,                    213
                      8,                 2.9977,                 1.4862,                 1.1791,                0.55869,                0.35479,                0.38151,                0.19725,                 2.8365,                 1.3493,                  1.151,             0.00048899,             0.00048899,             0.00048899,             1.7162e+09,                    244
                      9,                 2.9241,                 1.4505,                 1.1609,                 0.5991,                0.36296,                0.40044,                0.21039,                 2.7843,                 1.3277,                 1.1427,             0.00048384,             0.00048384,             0.00048384,             1.7162e+09,                    274
                     10,                 2.8271,                  1.388,                 1.1411,                0.59826,                0.38169,                0.41729,                0.21932,                 2.6576,                 1.2558,                 1.1123,             0.00047869,             0.00047869,             0.00047869,             1.7162e+09,                    304
                     11,                 2.7734,                 1.3621,                 1.1262,                 0.6405,                0.38531,                 0.4325,                0.23182,                 2.6069,                 1.2295,                 1.0971,             0.00047355,             0.00047355,             0.00047355,             1.7162e+09,                    334
                     12,                 2.7199,                 1.3345,                 1.1172,                0.63376,                0.38614,                0.43328,                0.23904,                 2.5803,                 1.2069,                 1.1046,              0.0004684,              0.0004684,              0.0004684,             1.7162e+09,                    364
                     13,                 2.6606,                 1.3077,                 1.1061,                0.61445,                0.38206,                0.40994,                0.21916,                 2.6135,                  1.327,                 1.1184,             0.00046325,             0.00046325,             0.00046325,             1.7162e+09,                    394
                     14,                 2.6179,                 1.2867,                  1.099,                0.66294,                0.39592,                0.44865,                0.24529,                  2.535,                 1.1986,                 1.0843,             0.00045811,             0.00045811,             0.00045811,             1.7162e+09,                    425
                     15,                 2.5755,                 1.2613,                 1.0894,                0.64369,                0.41446,                0.46324,                0.26335,                 2.4375,                 1.1645,                 1.0714,             0.00045296,             0.00045296,             0.00045296,             1.7162e+09,                    455
                     16,                 2.5499,                  1.263,                 1.0837,                0.65279,                 0.4184,                0.46786,                0.26542,                 2.3921,                 1.1386,                 1.0687,             0.00044781,             0.00044781,             0.00044781,             1.7162e+09,                    485
