                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 5.1855,                 3.3697,                 2.5013,                0.00703,                0.12385,                0.00823,                0.00182,                 5.1654,                 3.1324,                 2.0847,               0.066991,             2.9809e-05,             2.9809e-05,             1.7163e+09,                   2592
                      2,                 4.4666,                 2.5856,                 1.8283,                0.28713,                0.10116,                0.06962,                0.02262,                 4.1962,                 2.2526,                 1.7497,               0.033687,             5.8402e-05,             5.8402e-05,             1.7163e+09,                   2623
                      3,                 4.0363,                 2.3091,                 1.7162,                0.33565,                0.14233,                0.10614,                0.03267,                 3.9128,                 2.0849,                 1.6771,             0.00038049,             8.5507e-05,             8.5507e-05,             1.7163e+09,                   2652
                      4,                 3.7852,                 2.1531,                 1.6255,                0.44958,                0.14056,                0.12217,                0.04586,                 3.7462,                 2.0451,                 1.6148,             8.3526e-05,             8.3526e-05,             8.3526e-05,             1.7163e+09,                   2680
                      5,                 3.6113,                 2.0685,                 1.5742,                0.34036,                0.18465,                 0.1434,                0.05648,                 3.5741,                 1.9373,                 1.5415,             8.3526e-05,             8.3526e-05,             8.3526e-05,             1.7163e+09,                   2709
                      6,                 3.4863,                 2.0056,                 1.5215,                0.34815,                0.21004,                 0.1677,                0.06884,                 3.3735,                 1.8405,                 1.4902,             8.1293e-05,             8.1293e-05,             8.1293e-05,             1.7163e+09,                   2737
                      7,                 3.3766,                 1.9441,                  1.486,                0.41504,                0.21296,                0.18877,                0.08338,                 3.3159,                 1.8061,                  1.468,              7.906e-05,              7.906e-05,              7.906e-05,             1.7163e+09,                   2766
                      8,                 3.2753,                 1.8967,                 1.4589,                0.37991,                0.23196,                 0.2022,                0.08793,                 3.1822,                 1.7515,                 1.4087,             7.6827e-05,             7.6827e-05,             7.6827e-05,             1.7163e+09,                   2795
                      9,                 3.1959,                 1.8513,                 1.4324,                0.41596,                0.23982,                0.21832,                 0.0972,                 3.1118,                 1.7133,                 1.4174,             7.4594e-05,             7.4594e-05,             7.4594e-05,             1.7163e+09,                   2824
                     10,                 3.1425,                 1.8243,                 1.4094,                0.41708,                 0.2562,                0.23946,                 0.1069,                  3.015,                 1.6882,                 1.3731,             7.2361e-05,             7.2361e-05,             7.2361e-05,             1.7163e+09,                   2852
                     11,                 3.0582,                 1.7822,                 1.3842,                0.45179,                0.25594,                0.24495,                0.11159,                 2.9648,                  1.643,                 1.3648,             7.0128e-05,             7.0128e-05,             7.0128e-05,             1.7163e+09,                   2881
                     12,                 2.9915,                 1.7441,                  1.361,                0.45844,                 0.2602,                0.25018,                0.11335,                 2.9889,                 1.6563,                 1.3716,             6.7895e-05,             6.7895e-05,             6.7895e-05,             1.7163e+09,                   2910
                     13,                 2.9441,                 1.7213,                 1.3407,                0.46976,                0.27057,                0.27502,                0.12899,                  2.883,                 1.6099,                 1.3248,             6.5662e-05,             6.5662e-05,             6.5662e-05,             1.7163e+09,                   2939
                     14,                 2.9013,                 1.6914,                 1.3227,                 0.4893,                0.27234,                0.27317,                0.12854,                 2.8417,                 1.5922,                 1.3214,             6.3429e-05,             6.3429e-05,             6.3429e-05,             1.7163e+09,                   2968
                     15,                 2.8608,                 1.6706,                 1.3091,                0.47894,                0.28562,                0.28855,                0.13493,                 2.7793,                 1.5463,                 1.2983,             6.1196e-05,             6.1196e-05,             6.1196e-05,             1.7163e+09,                   2996
                     16,                 2.8105,                 1.6403,                 1.2922,                0.49249,                0.28755,                0.29584,                0.14153,                 2.7401,                 1.5244,                 1.2909,             5.8962e-05,             5.8962e-05,             5.8962e-05,             1.7163e+09,                   3025
                     17,                  2.767,                 1.6137,                 1.2778,                0.52976,                0.30036,                0.31412,                0.15111,                 2.6922,                 1.5064,                 1.2701,             5.6729e-05,             5.6729e-05,             5.6729e-05,             1.7163e+09,                   3053
                     18,                 2.7385,                 1.5993,                 1.2725,                0.51363,                0.29556,                0.30896,                0.14658,                 2.6928,                 1.5089,                 1.2753,             5.4496e-05,             5.4496e-05,             5.4496e-05,             1.7163e+09,                   3082
                     19,                 2.7057,                 1.5882,                 1.2592,                0.51792,                0.30596,                0.32316,                0.15878,                 2.6364,                 1.4775,                 1.2495,             5.2263e-05,             5.2263e-05,             5.2263e-05,             1.7163e+09,                   3111
