                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 6.0177,                 5.1703,                 3.0465,                0.00091,                0.01642,                0.00048,                0.00012,                 5.5382,                 3.9005,                 2.2084,               0.067392,             1.6312e-05,             1.6312e-05,             1.7156e+09,                     42
                      2,                 5.2276,                 3.3634,                 1.9112,                0.00121,                0.02169,                0.00066,                0.00016,                 5.3902,                 4.0533,                 1.8812,               0.034075,             3.2652e-05,             3.2652e-05,             1.7156e+09,                    129
                      3,                 5.0182,                 3.1697,                 1.7882,                0.00785,                0.06823,                 0.0052,                0.00127,                 5.2339,                  3.262,                 1.7957,             0.00075788,             4.8662e-05,             4.8662e-05,             1.7156e+09,                    220
                      4,                 4.8759,                 3.0739,                 1.7565,                0.09163,                0.05181,                0.01197,                0.00386,                 4.9668,                 2.9399,                 1.7365,             4.8515e-05,             4.8515e-05,             4.8515e-05,             1.7156e+09,                    299
                      5,                 4.7649,                  2.991,                 1.7317,                0.08963,                0.04374,                0.01757,                0.00602,                 4.9942,                 2.8396,                 1.8108,             4.8515e-05,             4.8515e-05,             4.8515e-05,             1.7156e+09,                    370
                      6,                 4.6811,                  2.935,                 1.7187,                0.08312,                0.06632,                0.01852,                0.00585,                 4.9861,                 2.8273,                 1.8177,              4.802e-05,              4.802e-05,              4.802e-05,             1.7156e+09,                    442
                      7,                 4.6183,                 2.8857,                 1.7008,                0.08387,                0.06942,                0.01946,                 0.0061,                 4.9499,                 2.7706,                 1.7849,             4.7525e-05,             4.7525e-05,             4.7525e-05,             1.7156e+09,                    510
                      8,                 4.5602,                 2.8359,                 1.6822,                0.09746,                0.06721,                0.02177,                0.00606,                 4.8742,                 2.7365,                 1.7761,              4.703e-05,              4.703e-05,              4.703e-05,             1.7156e+09,                    577
                      9,                 4.5225,                 2.8146,                 1.6702,                0.09724,                0.07507,                0.02369,                0.00695,                 4.7844,                  2.701,                  1.737,             4.6535e-05,             4.6535e-05,             4.6535e-05,             1.7156e+09,                    647
                     10,                 4.4793,                 2.7774,                 1.6578,                0.09089,                0.07219,                0.01977,                0.00586,                 4.8962,                 2.7968,                 1.7972,              4.604e-05,              4.604e-05,              4.604e-05,             1.7156e+09,                    715
                     11,                 4.4592,                 2.7586,                 1.6482,                0.10293,                 0.0748,                0.02447,                 0.0069,                 4.8045,                 2.6736,                 1.7494,             4.5545e-05,             4.5545e-05,             4.5545e-05,             1.7156e+09,                    786
                     12,                 4.4329,                 2.7438,                 1.6394,                0.10273,                 0.0988,                0.02915,                0.00901,                 4.6757,                  2.627,                 1.6853,              4.505e-05,              4.505e-05,              4.505e-05,             1.7156e+09,                    859
                     13,                 4.4045,                 2.7113,                 1.6258,                0.10399,                0.08438,                0.02564,                0.00761,                 4.7517,                 2.6955,                 1.7348,             4.4555e-05,             4.4555e-05,             4.4555e-05,             1.7156e+09,                    926
                     14,                 4.3617,                 2.6931,                 1.6172,                0.11116,                0.08628,                0.02953,                0.00925,                 4.6806,                 2.6274,                 1.7134,              4.406e-05,              4.406e-05,              4.406e-05,             1.7156e+09,                   1003
                     15,                  4.343,                 2.6734,                 1.6053,                0.09769,                0.08316,                0.02566,                0.00719,                 4.7664,                 2.6587,                 1.7397,             4.3565e-05,             4.3565e-05,             4.3565e-05,             1.7156e+09,                   1076
                     16,                 4.3059,                 2.6525,                 1.5991,                0.11711,                0.08465,                0.03188,                0.01016,                 4.5889,                 2.5782,                 1.6665,              4.307e-05,              4.307e-05,              4.307e-05,             1.7156e+09,                   1147
                     17,                 4.3125,                 2.6482,                 1.5956,                0.10608,                0.09436,                 0.0295,                0.00868,                 4.7114,                 2.6223,                  1.708,             4.2575e-05,             4.2575e-05,             4.2575e-05,             1.7156e+09,                   1214
                     18,                 4.2817,                 2.6331,                 1.5909,                0.10337,                0.09429,                 0.0305,                0.00895,                 4.6534,                 2.6011,                 1.7017,              4.208e-05,              4.208e-05,              4.208e-05,             1.7156e+09,                   1284
