                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 9.5424,                 4.7873,                 4.1699,                0.00044,                0.00837,                0.00035,                0.00013,                 10.033,                 4.0165,                 3.7159,               0.067233,             0.00027122,             0.00027122,             1.7162e+09,                  13841
                      2,                 9.1276,                 3.8271,                 3.4588,                 0.0268,                0.02557,                0.00652,                0.00197,                 8.6738,                 3.0416,                 3.0607,                0.03417,             0.00054127,             0.00054127,             1.7162e+09,                  13868
                      3,                 8.4483,                 3.2159,                 2.9293,                0.05364,                0.06154,                0.01565,                0.00421,                  7.938,                 2.8331,                 2.6029,              0.0011027,             0.00080771,             0.00080771,             1.7162e+09,                  13896
                      4,                 7.4312,                  2.751,                 2.4794,                 0.1288,                0.09699,                0.03422,                0.01162,                 7.0085,                 3.0481,                 2.2246,             0.00080468,             0.00080468,             0.00080468,             1.7162e+09,                  13925
                      5,                 6.4372,                 2.4184,                 2.1803,                0.21088,                 0.1235,                0.08139,                0.03122,                 6.0843,                 2.0904,                 1.9692,             0.00080468,             0.00080468,             0.00080468,             1.7162e+09,                  13954
                      6,                 5.8827,                   2.22,                 1.9684,                0.56759,                0.15654,                0.10563,                0.04203,                 5.5727,                 1.9609,                 1.8086,             0.00079927,             0.00079927,             0.00079927,             1.7162e+09,                  13982
                      7,                  5.514,                 2.0997,                 1.8527,                0.59715,                 0.1843,                0.13508,                 0.0555,                 5.2273,                  1.866,                 1.7221,             0.00079385,             0.00079385,             0.00079385,             1.7162e+09,                  14011
                      8,                 5.1911,                  1.996,                 1.7718,                 0.6056,                 0.1887,                0.16585,                0.07354,                 4.9235,                 1.7471,                 1.6576,             0.00078843,             0.00078843,             0.00078843,             1.7162e+09,                  14040
                      9,                 4.9733,                 1.9105,                 1.6917,                0.61022,                0.19589,                0.16218,                0.06743,                 4.8562,                   1.75,                 1.5889,             0.00078301,             0.00078301,             0.00078301,             1.7162e+09,                  14081
                     10,                 4.7888,                 1.8458,                 1.6253,                0.63242,                0.20973,                 0.1951,                 0.0885,                 4.5617,                 1.6239,                 1.5459,             0.00077759,             0.00077759,             0.00077759,             1.7162e+09,                  14118
