                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 4.9698,                 5.0059,                 4.3311,                0.00039,                0.00822,                0.00021,                  7e-05,                 4.6302,                 4.2702,                 4.1191,               0.086035,                3.5e-05,                3.5e-05,             1.7158e+09,                     20
                      2,                 4.9686,                 4.8116,                 4.1944,                0.00038,                0.00791,                0.00022,                  7e-05,                 4.8043,                 4.1809,                 3.9321,               0.071072,             7.2428e-05,             7.2428e-05,             1.7158e+09,                     35
                      3,                 4.9796,                 4.4254,                 3.9571,                0.00039,                0.00786,                0.00026,                  8e-05,                 4.9959,                 3.9214,                  3.711,                0.05611,             0.00010978,             0.00010978,             1.7158e+09,                     51
                      4,                 4.9153,                 4.1909,                 3.7627,                0.00039,                0.00786,                0.00029,                  8e-05,                 5.1036,                 3.7998,                 3.4975,               0.041147,             0.00014706,             0.00014706,             1.7158e+09,                     66
                      5,                 4.9379,                 3.9571,                  3.523,                0.00039,                0.00786,                0.00031,                  9e-05,                 5.1396,                  3.713,                 3.3329,               0.026184,             0.00018427,             0.00018427,             1.7158e+09,                     81
                      6,                 4.8151,                  3.727,                 3.3417,                 0.0004,                0.00771,                0.00057,                0.00022,                 5.1384,                 3.6669,                 3.2291,               0.011221,              0.0002214,              0.0002214,             1.7158e+09,                     97
                      7,                 4.6285,                 3.5248,                 3.2146,                0.00039,                0.00756,                0.00025,                  8e-05,                 5.1346,                  3.654,                 3.2046,             0.00024851,             0.00024851,             0.00024851,             1.7158e+09,                    112
                      8,                 4.3396,                 3.2428,                 3.0938,                0.00094,                0.00911,                0.00062,                0.00016,                 5.1083,                 3.5927,                 3.1784,             0.00024851,             0.00024851,             0.00024851,             1.7158e+09,                    127
                      9,                 4.3612,                 3.0942,                 2.8951,                 0.0021,                0.02826,                 0.0015,                0.00057,                 4.8284,                 3.2727,                 3.0178,             0.00024827,             0.00024827,             0.00024827,             1.7158e+09,                    142
                     10,                 4.1881,                 3.0696,                 2.8025,                0.39272,                0.02799,                0.00986,                0.00355,                 4.3602,                 2.8085,                 2.7809,             0.00024802,             0.00024802,             0.00024802,             1.7158e+09,                    158
                     11,                 4.0637,                 2.9263,                 2.6514,                0.41309,                0.05109,                 0.0219,                0.00646,                  4.096,                  2.601,                 2.5727,             0.00024777,             0.00024777,             0.00024777,             1.7158e+09,                    176
                     12,                 3.8731,                 2.7976,                 2.5858,                0.43777,                0.06892,                 0.0316,                 0.0088,                 3.9164,                 2.4802,                 2.4518,             0.00024753,             0.00024753,             0.00024753,             1.7158e+09,                    193
                     13,                 3.8133,                  2.776,                 2.4552,                0.45166,                0.08695,                0.04127,                0.01126,                 3.7681,                 2.4673,                 2.3543,             0.00024728,             0.00024728,             0.00024728,             1.7158e+09,                    210
                     14,                 3.7172,                 2.6998,                 2.4065,                 0.1225,                0.09098,                0.04258,                0.01162,                 3.7108,                  2.435,                 2.3371,             0.00024703,             0.00024703,             0.00024703,             1.7158e+09,                    228
                     15,                 3.5995,                 2.6318,                 2.3564,                0.10291,                0.09254,                0.03555,                0.00925,                 3.6326,                 2.4841,                  2.307,             0.00024678,             0.00024678,             0.00024678,             1.7158e+09,                    245
                     16,                 3.4533,                 2.5488,                 2.2965,                0.10396,                 0.1063,                0.03902,                0.01109,                 3.5375,                 2.5942,                 2.2551,             0.00024653,             0.00024653,             0.00024653,             1.7158e+09,                    262
                     17,                 3.3715,                 2.4688,                 2.2503,                0.10119,                0.09855,                0.03973,                0.01149,                 3.4324,                  2.377,                  2.177,             0.00024629,             0.00024629,             0.00024629,             1.7158e+09,                    280
                     18,                 3.2661,                 2.4254,                 2.1801,                0.11961,                0.10879,                0.04633,                0.01356,                 3.3516,                 2.3248,                 2.1301,             0.00024604,             0.00024604,             0.00024604,             1.7158e+09,                    297
                     19,                 3.2128,                 2.3333,                 2.0842,                0.13518,                0.10892,                0.05115,                0.01475,                 3.3201,                 2.1997,                 2.0838,             0.00024579,             0.00024579,             0.00024579,             1.7158e+09,                    315
                     20,                 3.1462,                   2.35,                 2.1275,                0.15045,                  0.117,                0.05975,                0.01795,                 3.2672,                 2.1622,                 2.0469,             0.00024555,             0.00024555,             0.00024555,             1.7158e+09,                    332
                     21,                 3.0988,                 2.2956,                 2.0547,                0.16094,                0.12097,                0.06712,                0.01984,                 3.2226,                   2.13,                 2.0191,              0.0002453,              0.0002453,              0.0002453,             1.7158e+09,                    350
                     22,                 3.0087,                 2.2397,                 2.0174,                 0.5054,                0.13352,                 0.0774,                0.02409,                 3.1169,                  2.072,                 1.9526,             0.00024505,             0.00024505,             0.00024505,             1.7158e+09,                    367
                     23,                 3.0086,                 2.2815,                 2.0332,                0.18531,                0.13079,                0.08337,                0.02702,                  3.072,                 2.0336,                 1.9239,              0.0002448,              0.0002448,              0.0002448,             1.7158e+09,                    385
                     24,                 2.9267,                  2.188,                 1.9981,                0.19872,                0.13486,                0.09228,                0.03114,                 3.0323,                 1.9972,                 1.9114,             0.00024455,             0.00024455,             0.00024455,             1.7158e+09,                    403
                     25,                 2.9148,                 2.1421,                 1.9284,                0.19341,                0.14588,                0.09938,                0.03455,                 2.9278,                 1.9511,                 1.8426,             0.00024431,             0.00024431,             0.00024431,             1.7158e+09,                    420
                     26,                 2.8806,                 2.1288,                 1.9114,                0.20454,                0.14325,                0.09961,                0.03305,                 2.9223,                 1.9936,                 1.8302,             0.00024406,             0.00024406,             0.00024406,             1.7158e+09,                    438
                     27,                 2.8552,                 2.0843,                 1.8749,                0.54483,                0.14625,                0.10689,                0.03655,                 2.8853,                 1.9218,                 1.8175,             0.00024381,             0.00024381,             0.00024381,             1.7158e+09,                    456
                     28,                 2.7879,                  2.071,                 1.8548,                0.55292,                0.15284,                0.11525,                 0.0402,                   2.85,                 1.8891,                   1.79,             0.00024357,             0.00024357,             0.00024357,             1.7158e+09,                    474
                     29,                  2.772,                 2.1031,                  1.907,                0.23119,                0.15483,                0.11795,                0.04143,                 2.8467,                 1.8932,                 1.7859,             0.00024332,             0.00024332,             0.00024332,             1.7158e+09,                    492
                     30,                  2.792,                 2.0508,                 1.8449,                0.22541,                0.16459,                0.12748,                0.04634,                 2.7798,                 1.8614,                 1.7517,             0.00024307,             0.00024307,             0.00024307,             1.7158e+09,                    510
                     31,                  2.694,                 2.0319,                 1.8291,                0.23356,                0.16961,                0.13142,                 0.0483,                 2.7615,                 1.8302,                 1.7447,             0.00024282,             0.00024282,             0.00024282,             1.7158e+09,                    528
                     32,                 2.6871,                 2.0053,                 1.7873,                0.25439,                0.17376,                0.13553,                0.05163,                 2.7409,                 1.8449,                  1.717,             0.00024258,             0.00024258,             0.00024258,             1.7158e+09,                    545
                     33,                 2.6369,                 1.9935,                 1.7619,                  0.261,                0.18192,                0.13935,                0.05179,                 2.6978,                 1.8095,                 1.7036,             0.00024233,             0.00024233,             0.00024233,             1.7158e+09,                    563
                     34,                 2.6486,                 1.9764,                 1.7703,                0.26257,                0.18669,                0.14007,                0.05303,                 2.6971,                 1.8178,                 1.7002,             0.00024208,             0.00024208,             0.00024208,             1.7158e+09,                    581
                     35,                 2.5675,                 1.9546,                 1.7453,                0.27426,                0.19432,                0.14777,                0.05635,                 2.6803,                 1.8088,                 1.6786,             0.00024183,             0.00024183,             0.00024183,             1.7158e+09,                    599
