                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 8.4263,                 4.6607,                 4.0058,                0.00166,                0.02237,                0.00094,                0.00028,                 8.4652,                  3.846,                 3.6213,               0.066844,             2.9387e-05,             2.9387e-05,             1.7162e+09,                   8857
                      2,                 8.1711,                 4.0523,                 3.3289,                0.00387,                0.05595,                 0.0022,                0.00054,                 7.8464,                 3.4734,                 3.1924,               0.033538,             5.7447e-05,             5.7447e-05,             1.7162e+09,                   8886
                      3,                 7.8444,                 3.7532,                 2.9919,                0.00581,                0.07192,                0.00375,                0.00094,                 7.6766,                 3.2759,                 2.9825,             0.00023154,             8.4045e-05,             8.4045e-05,             1.7162e+09,                   8916
                      4,                 7.7721,                 3.6197,                 2.9052,                0.00864,                0.05499,                0.00597,                0.00129,                 7.6246,                 3.1437,                 2.9047,             8.1977e-05,             8.1977e-05,             8.1977e-05,             1.7162e+09,                   8947
                      5,                 7.7284,                  3.499,                  2.837,                0.02267,                0.02065,                0.00619,                0.00168,                 7.5703,                 3.0258,                 2.7957,             8.1977e-05,             8.1977e-05,             8.1977e-05,             1.7162e+09,                   8978
                      6,                 7.6524,                 3.3556,                 2.7746,                0.04136,                0.02887,                0.00858,                0.00232,                 7.4543,                 2.9387,                 2.7244,             7.9786e-05,             7.9786e-05,             7.9786e-05,             1.7162e+09,                   9009
                      7,                 7.5804,                 3.2649,                 2.7183,                0.05691,                0.03842,                0.01199,                 0.0031,                 7.3362,                 2.8799,                 2.6654,             7.7594e-05,             7.7594e-05,             7.7594e-05,             1.7162e+09,                   9040
                      8,                 7.4642,                 3.1694,                 2.6691,                0.07073,                0.04705,                0.01724,                0.00466,                 7.1642,                  2.752,                 2.5876,             7.5402e-05,             7.5402e-05,             7.5402e-05,             1.7162e+09,                   9071
                      9,                 7.3339,                 3.0977,                 2.6313,                0.07899,                0.05136,                0.01856,                 0.0051,                 7.0511,                   2.73,                 2.5418,             7.3211e-05,             7.3211e-05,             7.3211e-05,             1.7162e+09,                   9102
                     10,                 7.1867,                 3.0016,                 2.5874,                 0.0821,                 0.0602,                0.02123,                0.00588,                 6.9124,                 2.6536,                 2.4855,             7.1019e-05,             7.1019e-05,             7.1019e-05,             1.7162e+09,                   9133
                     11,                 7.0505,                 2.9445,                 2.5419,                0.08808,                0.06456,                0.02286,                0.00642,                 6.7762,                 2.5908,                 2.4387,             6.8827e-05,             6.8827e-05,             6.8827e-05,             1.7162e+09,                   9164
                     12,                 6.8989,                   2.88,                 2.5067,                0.09081,                0.07038,                0.02596,                0.00715,                 6.6562,                 2.5364,                 2.3929,             6.6636e-05,             6.6636e-05,             6.6636e-05,             1.7162e+09,                   9195
                     13,                 6.7836,                 2.8316,                 2.4647,                0.09459,                0.07481,                0.02691,                0.00766,                 6.5669,                 2.5032,                 2.3563,             6.4444e-05,             6.4444e-05,             6.4444e-05,             1.7162e+09,                   9225
                     14,                 6.6305,                 2.7871,                   2.43,                0.10557,                0.07878,                0.03086,                0.00911,                 6.4372,                 2.4332,                 2.3083,             6.2252e-05,             6.2252e-05,             6.2252e-05,             1.7162e+09,                   9256
                     15,                 6.5183,                  2.745,                 2.3895,                 0.1144,                0.08494,                0.03598,                0.01076,                 6.2976,                  2.387,                 2.2689,             6.0061e-05,             6.0061e-05,             6.0061e-05,             1.7162e+09,                   9287
                     16,                 6.4084,                 2.7059,                 2.3547,                 0.1246,                0.09145,                0.04013,                0.01227,                   6.19,                 2.3455,                 2.2368,             5.7869e-05,             5.7869e-05,             5.7869e-05,             1.7162e+09,                   9318
                     17,                 6.2669,                 2.6379,                 2.3232,                0.13138,                0.09608,                 0.0455,                0.01373,                 6.1275,                 2.3058,                 2.2113,             5.5677e-05,             5.5677e-05,             5.5677e-05,             1.7162e+09,                   9349
                     18,                 6.1915,                 2.6061,                 2.2934,                0.13668,                0.09876,                0.04905,                 0.0152,                 6.0251,                 2.2782,                 2.1782,             5.3486e-05,             5.3486e-05,             5.3486e-05,             1.7162e+09,                   9379
