                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                  7.345,                 3.3186,                 2.4936,                 0.0093,                0.14932,                0.01222,                0.00276,                 7.2118,                 3.0523,                 1.9517,               0.067094,             0.00013208,             0.00013208,             1.7162e+09,                   6293
                      2,                 5.7378,                 2.3378,                 1.7039,                0.30489,                0.15719,                0.12401,                0.04339,                 5.3205,                 2.0655,                 1.6009,               0.033887,             0.00025877,             0.00025877,             1.7162e+09,                   6322
                      3,                 4.9734,                 2.0484,                 1.5293,                0.30651,                0.20951,                0.17229,                 0.0631,                 4.7227,                  1.831,                 1.4256,             0.00067386,             0.00037887,             0.00037887,             1.7162e+09,                   6350
                      4,                 4.4667,                 1.8578,                  1.397,                0.39105,                0.24255,                0.22208,                0.09433,                 4.2952,                 1.7224,                 1.3533,              0.0003701,              0.0003701,              0.0003701,             1.7162e+09,                   6378
                      5,                 4.1578,                 1.7275,                 1.3225,                0.40009,                0.28018,                0.25505,                0.11491,                 4.0109,                 1.5803,                 1.2888,              0.0003701,              0.0003701,              0.0003701,             1.7162e+09,                   6407
                      6,                 3.9444,                 1.6384,                 1.2683,                0.47817,                0.31411,                0.30689,                0.13987,                 3.9018,                 1.5227,                 1.2513,              0.0003602,              0.0003602,              0.0003602,             1.7162e+09,                   6435
                      7,                 3.7866,                  1.559,                 1.2308,                0.53179,                0.30933,                0.32706,                0.15764,                 3.7469,                 1.4527,                 1.2446,             0.00035031,             0.00035031,             0.00035031,             1.7162e+09,                   6463
                      8,                 3.6498,                  1.511,                 1.2055,                0.55296,                0.33398,                0.35401,                0.18268,                 3.5277,                 1.4234,                 1.1764,             0.00034041,             0.00034041,             0.00034041,             1.7162e+09,                   6492
                      9,                 3.5362,                 1.4661,                 1.1842,                0.55705,                0.33706,                0.36564,                0.18888,                 3.4262,                 1.3638,                 1.1719,             0.00033052,             0.00033052,             0.00033052,             1.7162e+09,                   6521
                     10,                 3.4677,                 1.4371,                 1.1635,                0.52798,                0.33622,                0.36549,                0.18935,                 3.3983,                 1.3547,                 1.1367,             0.00032062,             0.00032062,             0.00032062,             1.7162e+09,                   6549
                     11,                 3.3838,                 1.4023,                 1.1522,                0.58429,                0.35382,                0.38234,                0.19406,                 3.4835,                 1.3413,                 1.1548,             0.00031073,             0.00031073,             0.00031073,             1.7162e+09,                   6577
                     12,                 3.3195,                 1.3715,                 1.1382,                0.54007,                0.30694,                0.32479,                0.16441,                 3.6389,                 1.4825,                 1.1991,             0.00030083,             0.00030083,             0.00030083,             1.7162e+09,                   6605
                     13,                 3.2483,                 1.3495,                  1.127,                0.58428,                0.35607,                0.38732,                0.20315,                 3.3119,                 1.3051,                 1.1329,             0.00029094,             0.00029094,             0.00029094,             1.7162e+09,                   6633
                     14,                 3.2095,                 1.3253,                 1.1168,                0.63681,                  0.374,                0.42039,                0.22967,                 3.1256,                 1.2674,                 1.1058,             0.00028105,             0.00028105,             0.00028105,             1.7162e+09,                   6661
                     15,                 3.1831,                 1.3132,                 1.1141,                0.61567,                 0.3804,                 0.4319,                0.23772,                 3.0662,                 1.2192,                 1.0917,             0.00027115,             0.00027115,             0.00027115,             1.7162e+09,                   6690
                     16,                 3.1173,                 1.2829,                 1.0986,                0.61798,                0.39247,                0.43659,                0.24044,                 3.0329,                 1.1955,                 1.1001,             0.00026126,             0.00026126,             0.00026126,             1.7162e+09,                   6718
                     17,                  3.073,                 1.2605,                 1.0938,                0.63984,                0.38799,                0.43487,                0.24161,                 3.0069,                 1.1896,                 1.0873,             0.00025136,             0.00025136,             0.00025136,             1.7162e+09,                   6746
                     18,                 3.0345,                  1.252,                 1.0924,                0.65931,                0.38818,                 0.4393,                0.24373,                 3.0161,                 1.2027,                 1.0913,             0.00024147,             0.00024147,             0.00024147,             1.7162e+09,                   6774
                     19,                 3.0209,                 1.2476,                 1.0864,                0.63994,                0.41914,                 0.4663,                0.26158,                 2.9213,                 1.1567,                 1.0696,             0.00023157,             0.00023157,             0.00023157,             1.7162e+09,                   6803
                     20,                 3.0142,                 1.2361,                 1.0862,                0.64174,                0.42103,                0.47026,                0.26577,                 2.9105,                 1.1368,                 1.0637,             0.00022168,             0.00022168,             0.00022168,             1.7162e+09,                   6831
                     21,                 2.9672,                 1.2152,                 1.0765,                0.63781,                0.41897,                0.46251,                0.26186,                 2.8764,                 1.1323,                  1.068,             0.00021178,             0.00021178,             0.00021178,             1.7162e+09,                   6859
                     22,                 2.9432,                 1.2025,                 1.0761,                0.66202,                0.41708,                0.46626,                0.26498,                  2.913,                 1.1389,                 1.0702,             0.00020189,             0.00020189,             0.00020189,             1.7162e+09,                   6887
                     23,                 2.9148,                 1.1951,                 1.0711,                0.64601,                0.43024,                0.47766,                0.27078,                 2.8268,                 1.1118,                 1.0562,             0.00019199,             0.00019199,             0.00019199,             1.7162e+09,                   6915
                     24,                 2.9041,                 1.1853,                  1.068,                0.67049,                0.41851,                0.47106,                0.26681,                  2.871,                 1.1319,                 1.0641,              0.0001821,              0.0001821,              0.0001821,             1.7162e+09,                   6943
                     25,                 2.8779,                   1.18,                 1.0637,                0.64794,                0.42075,                0.46287,                0.26569,                 2.8135,                  1.126,                  1.064,             0.00017221,             0.00017221,             0.00017221,             1.7162e+09,                   6971
                     26,                 2.8754,                  1.175,                 1.0632,                0.65987,                0.43456,                0.48043,                0.27655,                 2.8056,                 1.0936,                 1.0597,             0.00016231,             0.00016231,             0.00016231,             1.7162e+09,                   6999
                     27,                 2.8387,                 1.1595,                 1.0539,                0.66801,                0.43251,                0.48889,                0.28305,                 2.7546,                 1.0964,                 1.0488,             0.00015242,             0.00015242,             0.00015242,             1.7162e+09,                   7027
                     28,                 2.8407,                 1.1571,                 1.0572,                0.67533,                0.42554,                0.48001,                0.27761,                 2.7911,                 1.1006,                 1.0496,             0.00014252,             0.00014252,             0.00014252,             1.7162e+09,                   7055
                     29,                 2.8123,                 1.1424,                 1.0489,                0.68819,                0.44669,                0.50227,                0.29169,                 2.7323,                  1.075,                 1.0356,             0.00013263,             0.00013263,             0.00013263,             1.7162e+09,                   7083
                     30,                 2.7999,                 1.1404,                 1.0497,                0.67478,                0.44834,                 0.4943,                0.28763,                 2.7243,                 1.0711,                 1.0443,             0.00012273,             0.00012273,             0.00012273,             1.7162e+09,                   7111
                     31,                 2.7773,                 1.1351,                 1.0489,                0.67087,                0.44508,                0.49563,                0.29042,                 2.7255,                 1.0683,                 1.0427,             0.00011284,             0.00011284,             0.00011284,             1.7162e+09,                   7142
                     32,                 2.7919,                 1.1365,                 1.0487,                0.67981,                0.44589,                0.49685,                0.28807,                 2.7565,                 1.0767,                 1.0465,             0.00010294,             0.00010294,             0.00010294,             1.7162e+09,                   7170
                     33,                  2.767,                 1.1228,                 1.0465,                0.67935,                0.44265,                0.49753,                  0.292,                 2.7217,                 1.0745,                 1.0521,             9.3049e-05,             9.3049e-05,             9.3049e-05,             1.7162e+09,                   7198
