                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 7.8029,                 3.7924,                 3.0607,                 0.0007,                0.01267,                 0.0004,                0.00011,                 7.4896,                 3.4023,                 2.2049,               0.067299,             4.7778e-05,             4.7778e-05,             1.7162e+09,                   7575
                      2,                 6.8434,                 2.7506,                 1.9959,                0.00762,                0.10017,                0.01069,                0.00275,                 7.0713,                 3.1377,                 1.9563,               0.034012,             9.4024e-05,             9.4024e-05,             1.7162e+09,                   7605
                      3,                 5.9367,                 2.3618,                 1.7857,                0.37137,                0.13868,                0.10334,                0.03924,                 5.7023,                 2.1562,                 1.7421,             0.00072266,             0.00013786,             0.00013786,             1.7162e+09,                   7633
                      4,                 5.3869,                 2.1404,                 1.6628,                 0.3831,                0.17511,                0.13824,                 0.0504,                 5.3812,                 2.0289,                 1.6643,             0.00013506,             0.00013506,             0.00013506,             1.7162e+09,                   7661
                      5,                  5.056,                 2.0305,                 1.5795,                0.39764,                0.21086,                0.17752,                0.07409,                 4.8196,                 1.8689,                  1.522,             0.00013506,             0.00013506,             0.00013506,             1.7162e+09,                   7689
                      6,                 4.8131,                 1.9425,                 1.5139,                0.38949,                0.22626,                0.19581,                0.07929,                 4.7252,                 1.8313,                 1.5009,             0.00013145,             0.00013145,             0.00013145,             1.7162e+09,                   7717
                      7,                 4.6213,                 1.8539,                 1.4594,                0.40874,                0.25601,                 0.2266,                0.10141,                 4.4522,                 1.7183,                 1.4005,             0.00012784,             0.00012784,             0.00012784,             1.7162e+09,                   7745
                      8,                 4.4635,                 1.8054,                 1.4227,                0.43643,                0.26873,                 0.2491,                0.11206,                 4.3258,                 1.6676,                 1.3952,             0.00012423,             0.00012423,             0.00012423,             1.7162e+09,                   7773
                      9,                 4.3301,                 1.7534,                 1.3876,                0.46076,                0.27224,                0.26026,                0.11906,                 4.2715,                 1.6675,                 1.3829,             0.00012062,             0.00012062,             0.00012062,             1.7162e+09,                   7801
                     10,                 4.2076,                 1.7068,                  1.357,                 0.4921,                0.29121,                0.29291,                0.14005,                  4.091,                   1.58,                 1.3179,             0.00011701,             0.00011701,             0.00011701,             1.7162e+09,                   7829
                     11,                 4.1083,                 1.6744,                 1.3308,                0.49819,                0.29946,                0.30178,                0.14098,                  4.016,                 1.5531,                  1.306,              0.0001134,              0.0001134,              0.0001134,             1.7162e+09,                   7857
                     12,                  4.016,                 1.6397,                 1.2998,                0.51678,                0.29457,                0.30152,                0.14396,                  3.976,                 1.5512,                 1.3035,             0.00010979,             0.00010979,             0.00010979,             1.7162e+09,                   7885
                     13,                 3.9397,                 1.6088,                 1.2832,                0.51944,                0.30204,                0.31676,                0.15683,                 3.8575,                 1.5102,                 1.2726,             0.00010617,             0.00010617,             0.00010617,             1.7162e+09,                   7913
                     14,                 3.8322,                 1.5654,                 1.2647,                0.53631,                0.31396,                0.33378,                0.16534,                 3.7641,                 1.4581,                 1.2437,             0.00010256,             0.00010256,             0.00010256,             1.7162e+09,                   7941
                     15,                 3.8044,                 1.5471,                 1.2492,                0.53734,                0.32561,                0.34285,                0.17466,                 3.6662,                 1.4334,                 1.2286,             9.8953e-05,             9.8953e-05,             9.8953e-05,             1.7162e+09,                   7969
                     16,                 3.7282,                 1.5172,                 1.2336,                0.56208,                0.32659,                0.35606,                0.18167,                 3.6162,                 1.4222,                 1.2174,             9.5342e-05,             9.5342e-05,             9.5342e-05,             1.7162e+09,                   7998
                     17,                 3.6886,                 1.5021,                 1.2236,                0.57753,                0.33597,                0.36503,                0.19067,                 3.5398,                 1.4055,                 1.1977,             9.1731e-05,             9.1731e-05,             9.1731e-05,             1.7162e+09,                   8026
                     18,                 3.6231,                 1.4729,                 1.2134,                0.56054,                0.33708,                0.36338,                0.18364,                 3.5631,                 1.3886,                 1.2057,              8.812e-05,              8.812e-05,              8.812e-05,             1.7162e+09,                   8054
                     19,                 3.6113,                 1.4664,                 1.2012,                0.57437,                0.34406,                0.37785,                0.19798,                 3.4694,                 1.3659,                 1.1835,              8.451e-05,              8.451e-05,              8.451e-05,             1.7162e+09,                   8081
                     20,                 3.5606,                  1.452,                 1.1922,                0.59288,                0.34591,                0.38426,                  0.203,                 3.4412,                 1.3538,                 1.1756,             8.0899e-05,             8.0899e-05,             8.0899e-05,             1.7162e+09,                   8110
                     21,                 3.4988,                 1.4233,                 1.1841,                0.60804,                0.34418,                0.38568,                0.20475,                 3.4196,                 1.3356,                 1.1719,             7.7288e-05,             7.7288e-05,             7.7288e-05,             1.7162e+09,                   8138
                     22,                 3.5062,                 1.4155,                   1.18,                0.61767,                0.35238,                0.39112,                0.20329,                 3.4317,                 1.3354,                 1.1629,             7.3677e-05,             7.3677e-05,             7.3677e-05,             1.7162e+09,                   8166
                     23,                 3.4558,                  1.401,                 1.1721,                0.61043,                0.36301,                0.40367,                0.21582,                 3.3281,                 1.3043,                   1.15,             7.0066e-05,             7.0066e-05,             7.0066e-05,             1.7162e+09,                   8193
                     24,                 3.4208,                 1.3881,                 1.1682,                 0.6229,                0.36059,                0.40345,                0.21628,                 3.3233,                 1.3045,                 1.1575,             6.6455e-05,             6.6455e-05,             6.6455e-05,             1.7162e+09,                   8221
                     25,                 3.4111,                 1.3888,                 1.1656,                0.61413,                0.36108,                0.39762,                0.21001,                  3.363,                 1.3351,                 1.1591,             6.2844e-05,             6.2844e-05,             6.2844e-05,             1.7162e+09,                   8250
                     26,                 3.3913,                 1.3819,                 1.1613,                0.62975,                0.36341,                0.40741,                0.21901,                 3.2965,                 1.3006,                 1.1479,             5.9233e-05,             5.9233e-05,             5.9233e-05,             1.7162e+09,                   8277
                     27,                 3.3478,                 1.3613,                 1.1532,                0.62563,                0.36548,                0.40959,                0.22026,                 3.2659,                 1.2963,                   1.14,             5.5622e-05,             5.5622e-05,             5.5622e-05,             1.7162e+09,                   8306
