                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 4.9698,                 5.0059,                 4.3311,                0.00039,                0.00822,                0.00021,                  7e-05,                 4.6302,                 4.2702,                 4.1191,               0.086035,                3.5e-05,                3.5e-05,             1.7158e+09,                     23
                      2,                 4.9745,                 4.8224,                 4.1871,                0.00038,                0.00791,                0.00034,                  9e-05,                 4.8081,                 4.1804,                 3.9282,               0.071071,             7.1065e-05,             7.1065e-05,             1.7158e+09,                     38
                      3,                 4.9812,                 4.4182,                  3.952,                0.00038,                0.00756,                0.00028,                  8e-05,                 4.9947,                 3.9231,                 3.7101,               0.056106,             0.00010564,             0.00010564,             1.7158e+09,                     54
                      4,                 4.9272,                  4.186,                 3.7675,                 0.0004,                0.00786,                0.00027,                  8e-05,                 5.1007,                 3.8086,                 3.5071,               0.041139,             0.00013874,             0.00013874,             1.7158e+09,                     69
                      5,                 4.9505,                 3.9667,                 3.5381,                0.00038,                0.00786,                0.00026,                  7e-05,                 5.1396,                 3.7251,                 3.3418,                0.02617,             0.00017035,             0.00017035,             1.7158e+09,                     84
                      6,                 4.8169,                 3.7368,                 3.3493,                0.00042,                0.00801,                 0.0003,                  8e-05,                 5.1406,                 3.6776,                 3.2351,                 0.0112,             0.00020047,             0.00020047,             1.7158e+09,                     99
                      7,                 4.6467,                 3.5522,                 3.2403,                0.00039,                0.00771,                0.00108,                0.00024,                 5.1362,                 3.6625,                 3.2108,              0.0002203,              0.0002203,              0.0002203,             1.7158e+09,                    114
                      8,                 4.3678,                  3.271,                 3.1236,                0.00084,                0.01008,                0.00049,                0.00014,                 5.1064,                 3.5841,                 3.1858,              0.0002203,              0.0002203,              0.0002203,             1.7158e+09,                    129
                      9,                 4.3849,                 3.1192,                 2.9475,                0.00198,                0.02686,                0.00136,                0.00043,                 4.8546,                 3.2852,                   3.06,             0.00021535,             0.00021535,             0.00021535,             1.7158e+09,                    144
                     10,                 4.2501,                 3.1062,                 2.8695,                0.36435,                0.02161,                0.00699,                0.00212,                 4.3927,                 2.8895,                   2.83,              0.0002104,              0.0002104,              0.0002104,             1.7158e+09,                    161
                     11,                 4.1267,                 2.9886,                 2.7253,                0.40644,                 0.0506,                  0.018,                0.00531,                 4.1352,                 2.6868,                 2.6326,             0.00020545,             0.00020545,             0.00020545,             1.7158e+09,                    178
                     12,                 3.9508,                 2.8462,                 2.6602,                0.41668,                0.06034,                0.02416,                0.00693,                 4.0115,                 2.5774,                 2.5238,              0.0002005,              0.0002005,              0.0002005,             1.7158e+09,                    195
                     13,                 3.9266,                 2.8326,                 2.5415,                0.42822,                0.07107,                0.03009,                0.00824,                 3.8811,                  2.488,                 2.4357,             0.00019555,             0.00019555,             0.00019555,             1.7158e+09,                    213
