                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                  6.011,                  5.095,                 3.1028,                0.00748,                0.00837,                0.00191,                0.00045,                 5.6357,                 3.6682,                  2.491,               0.066838,             8.3112e-05,             8.3112e-05,             1.7153e+09,                     45
                      2,                 5.4804,                  3.743,                 2.3864,                0.01181,                0.01142,                0.00285,                0.00067,                 5.6044,                  3.382,                 2.3038,               0.033588,             0.00016628,             0.00016628,             1.7153e+09,                    111
                      3,                 5.4444,                 3.5178,                 2.2841,                0.01599,                0.01657,                0.00419,                0.00103,                  5.432,                 3.2078,                 2.1799,             0.00033794,             0.00024928,             0.00024928,             1.7153e+09,                    174
                      4,                 5.3326,                 3.3586,                 2.2317,                0.01907,                0.02328,                0.00546,                 0.0014,                  5.284,                  3.117,                 2.1218,             0.00024926,             0.00024926,             0.00024926,             1.7153e+09,                    237
                      5,                 5.1456,                 3.2368,                 2.1665,                0.02397,                0.02684,                0.00753,                0.00199,                 5.0392,                 2.9976,                 2.0394,             0.00024926,             0.00024926,             0.00024926,             1.7153e+09,                    300
                      6,                 5.0025,                 3.1644,                 2.1138,                0.02595,                0.02659,                0.00835,                0.00214,                 5.0415,                 2.9341,                 2.0438,             0.00024901,             0.00024901,             0.00024901,             1.7153e+09,                    363
                      7,                 4.8957,                 3.1023,                 2.0656,                0.03041,                0.03249,                0.01088,                0.00284,                   4.91,                 2.8577,                 1.9901,             0.00024876,             0.00024876,             0.00024876,             1.7153e+09,                    425
                      8,                 4.8002,                 3.0239,                 2.0212,                0.03512,                0.03679,                0.01261,                0.00333,                 4.8378,                 2.7877,                  1.948,             0.00024851,             0.00024851,             0.00024851,             1.7153e+09,                    488
                      9,                 4.7451,                 2.9733,                 1.9976,                0.03779,                0.04122,                 0.0145,                0.00392,                 4.7855,                 2.7534,                 1.9134,             0.00024827,             0.00024827,             0.00024827,             1.7153e+09,                    551
                     10,                 4.6784,                 2.9407,                 1.9751,                 0.0402,                0.04277,                0.01546,                0.00408,                 4.7446,                 2.7219,                 1.9017,             0.00024802,             0.00024802,             0.00024802,             1.7153e+09,                    613
                     11,                 4.6342,                  2.919,                 1.9634,                0.04891,                0.04307,                0.01637,                0.00438,                 4.7288,                  2.686,                 1.8954,             0.00024777,             0.00024777,             0.00024777,             1.7153e+09,                    676
                     12,                 4.6026,                  2.906,                 1.9453,                0.05144,                0.05443,                0.01704,                0.00457,                 4.6779,                  2.671,                 1.8589,             0.00024753,             0.00024753,             0.00024753,             1.7153e+09,                    738
