                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                  5.961,                 11.985,                 4.2952,                0.00034,                0.07728,                0.00021,                  7e-05,                  6.113,                 10.698,                 3.9632,               0.077058,               5.75e-05,               5.75e-05,             1.7157e+09,                     26
                      2,                 6.1666,                 9.5698,                 3.9313,                  9e-05,                0.03131,                  7e-05,                  3e-05,                 6.4957,                 8.5866,                 3.5176,               0.053115,             0.00011517,             0.00011517,             1.7157e+09,                     64
                      3,                 6.2025,                 7.7421,                 3.4564,                0.00013,                0.04367,                 0.0001,                  3e-05,                 6.4939,                 6.9535,                 3.0811,                0.02917,             0.00017047,             0.00017047,             1.7157e+09,                    106
                      4,                 5.7697,                 6.3148,                 3.0599,                0.00073,                0.04375,                0.00044,                0.00013,                 6.2804,                 6.2579,                 2.8829,              0.0052234,             0.00022339,             0.00022339,             1.7157e+09,                    147
                      5,                 5.5473,                 5.6967,                 2.8377,                0.00204,                0.04453,                0.00113,                0.00028,                 6.1436,                 6.0155,                 2.8266,              0.0002302,              0.0002302,              0.0002302,             1.7157e+09,                    195
                      6,                 5.4922,                  5.393,                 2.7053,                0.00476,                0.07668,                0.00272,                0.00068,                 5.7441,                 5.6972,                 2.6509,              0.0002302,              0.0002302,              0.0002302,             1.7157e+09,                    244
                      7,                 5.3674,                 5.2844,                 2.5928,                0.35576,                0.04498,                0.00639,                0.00194,                 5.3583,                 5.0924,                 2.4799,             0.00022525,             0.00022525,             0.00022525,             1.7157e+09,                    293
                      8,                 5.2569,                 5.0346,                 2.5282,                0.06217,                0.05446,                0.01522,                 0.0045,                 5.1898,                 4.6948,                  2.379,              0.0002203,              0.0002203,              0.0002203,             1.7157e+09,                    340
                      9,                 5.1249,                 4.7629,                  2.444,                0.07536,                0.05975,                0.02088,                0.00575,                 5.0991,                 4.4934,                  2.334,             0.00021535,             0.00021535,             0.00021535,             1.7157e+09,                    387
                     10,                  5.051,                 4.7298,                 2.4326,                0.09108,                0.06538,                0.02359,                0.00623,                 5.0507,                 4.3506,                 2.3101,              0.0002104,              0.0002104,              0.0002104,             1.7157e+09,                    432
                     11,                 5.0211,                 4.6966,                 2.3911,                0.09882,                0.06989,                0.02656,                0.00709,                 4.9996,                 4.3037,                 2.2853,             0.00020545,             0.00020545,             0.00020545,             1.7157e+09,                    478
                     12,                 4.8859,                 4.6451,                 2.3598,                0.09981,                  0.081,                0.03017,                0.00854,                 4.9335,                 4.2815,                 2.2615,              0.0002005,              0.0002005,              0.0002005,             1.7157e+09,                    523
                     13,                 4.8554,                 4.5126,                 2.3152,                0.10604,                0.08772,                0.03413,                0.01031,                 4.8204,                 4.1553,                 2.2062,             0.00019555,             0.00019555,             0.00019555,             1.7157e+09,                    568
                     14,                 4.7347,                 4.4625,                 2.2843,                0.10884,                0.09076,                0.03554,                0.01001,                 4.7893,                 4.0984,                 2.1896,              0.0001906,              0.0001906,              0.0001906,             1.7157e+09,                    613
                     15,                 4.7536,                 4.4344,                 2.2873,                0.11443,                 0.0914,                0.03788,                0.01136,                 4.7548,                 4.0419,                 2.1809,             0.00018565,             0.00018565,             0.00018565,             1.7157e+09,                    658
