                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 3.2398,                  4.647,                 4.0194,                0.00127,                0.01949,                0.00067,                0.00018,                  3.283,                 3.8128,                 3.6838,                0.06682,             6.1857e-06,             6.1857e-06,             1.7162e+09,                  10119
                      2,                 3.2557,                 4.1471,                 3.4249,                0.00183,                 0.0295,                0.00101,                0.00025,                 3.2348,                 3.6119,                 3.3925,               0.033493,             1.2092e-05,             1.2092e-05,             1.7162e+09,                  10148
                      3,                 3.2016,                  3.908,                 3.1336,                0.00284,                0.03882,                0.00157,                0.00036,                 3.1703,                 3.4486,                 3.1845,             0.00016518,             1.7691e-05,             1.7691e-05,             1.7162e+09,                  10177
                      4,                 3.1575,                 3.8173,                 3.0549,                0.00306,                0.04177,                0.00172,                0.00039,                  3.149,                 3.3938,                 3.1388,             1.7256e-05,             1.7256e-05,             1.7256e-05,             1.7162e+09,                  10208
                      5,                 3.1521,                 3.7629,                  3.028,                0.00359,                0.04785,                0.00212,                0.00046,                 3.1318,                 3.3362,                 3.0746,             1.7256e-05,             1.7256e-05,             1.7256e-05,             1.7162e+09,                  10239
                      6,                 3.1354,                 3.7028,                 3.0057,                0.00396,                0.05399,                0.00244,                0.00056,                 3.1105,                  3.248,                 3.0248,             1.6794e-05,             1.6794e-05,             1.6794e-05,             1.7162e+09,                  10269
                      7,                 3.1226,                 3.6677,                 2.9821,                 0.0048,                0.05766,                0.00271,                0.00064,                  3.077,                 3.2317,                 3.0229,             1.6333e-05,             1.6333e-05,             1.6333e-05,             1.7162e+09,                  10300
                      8,                 3.1143,                 3.6291,                 2.9577,                0.00812,                0.03606,                0.00301,                0.00068,                 3.0667,                 3.1744,                 2.9657,             1.5872e-05,             1.5872e-05,             1.5872e-05,             1.7162e+09,                  10330
                      9,                 3.1003,                 3.6041,                 2.9478,                0.01226,                0.02342,                0.00365,                0.00086,                 3.0375,                  3.144,                 2.9436,              1.541e-05,              1.541e-05,              1.541e-05,             1.7162e+09,                  10361
                     10,                 3.0803,                 3.5436,                  2.919,                0.01675,                 0.0195,                0.00394,                0.00091,                 3.0229,                 3.1111,                 2.9198,             1.4949e-05,             1.4949e-05,             1.4949e-05,             1.7162e+09,                  10391
                     11,                 3.0731,                 3.5128,                 2.9022,                0.01975,                0.01905,                0.00452,                0.00106,                 3.0059,                 3.0867,                 2.8969,             1.4488e-05,             1.4488e-05,             1.4488e-05,             1.7162e+09,                  10421
                     12,                  3.047,                 3.4725,                 2.8834,                0.02485,                0.01661,                0.00489,                0.00117,                 2.9939,                 3.0583,                 2.8695,             1.4026e-05,             1.4026e-05,             1.4026e-05,             1.7162e+09,                  10452
                     13,                 3.0369,                 3.4291,                 2.8734,                0.02876,                0.01795,                0.00552,                0.00134,                  2.978,                  3.047,                  2.863,             1.3565e-05,             1.3565e-05,             1.3565e-05,             1.7162e+09,                  10483
                     14,                 3.0174,                 3.4097,                 2.8584,                0.03171,                0.02083,                0.00598,                0.00144,                 2.9693,                 3.0187,                 2.8378,             1.3104e-05,             1.3104e-05,             1.3104e-05,             1.7162e+09,                  10513
                     15,                 3.0126,                 3.3827,                 2.8413,                0.03644,                0.02176,                0.00646,                0.00165,                 2.9611,                 2.9864,                   2.81,             1.2642e-05,             1.2642e-05,             1.2642e-05,             1.7162e+09,                  10544
                     16,                 3.0136,                 3.3652,                 2.8338,                0.03885,                0.02293,                0.00711,                0.00187,                  2.952,                 2.9775,                 2.8053,             1.2181e-05,             1.2181e-05,             1.2181e-05,             1.7162e+09,                  10574
                     17,                 2.9871,                 3.3301,                 2.8226,                0.04277,                0.02516,                0.00796,                0.00207,                 2.9452,                  2.962,                 2.7914,              1.172e-05,              1.172e-05,              1.172e-05,             1.7162e+09,                  10605
                     18,                 2.9889,                 3.3041,                 2.8071,                0.04284,                0.02664,                0.00876,                 0.0024,                 2.9327,                 2.9583,                 2.7814,             1.1258e-05,             1.1258e-05,             1.1258e-05,             1.7162e+09,                  10635
                     19,                 2.9749,                 3.2895,                 2.7933,                0.04331,                0.02894,                0.00966,                0.00265,                 2.9266,                 2.9367,                 2.7617,             1.0797e-05,             1.0797e-05,             1.0797e-05,             1.7162e+09,                  10665
