                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 5.9139,                0.09351,                 2.9849,                0.00127,                0.03495,                0.00065,                0.00015,                 5.6154,                0.04535,                 2.4547,               0.066838,             8.3112e-05,             8.3112e-05,             1.7156e+09,                     45
                      2,                 5.4774,                0.09032,                 2.3653,                0.00229,                0.04468,                 0.0012,                0.00028,                 5.6114,                0.04316,                 2.2937,               0.033587,              0.0001648,              0.0001648,             1.7156e+09,                    106
                      3,                  5.456,                0.08724,                 2.2764,                0.00353,                0.05869,                0.00206,                0.00049,                 5.4589,                0.04102,                 2.1778,             0.00033349,             0.00024483,             0.00024483,             1.7156e+09,                    167
                      4,                 5.3751,                0.08408,                 2.2385,                0.00393,                0.07143,                0.00283,                0.00067,                 5.3644,                0.03898,                 2.1223,             0.00024258,             0.00024258,             0.00024258,             1.7156e+09,                    228
                      5,                 5.2332,                0.08115,                 2.1885,                 0.0182,                0.01155,                0.00386,                0.00103,                  5.151,                0.03861,                  2.058,             0.00024258,             0.00024258,             0.00024258,             1.7156e+09,                    288
                      6,                 5.1054,                0.07923,                 2.1426,                   0.02,                0.01203,                0.00426,                0.00115,                 5.1006,                0.03896,                 2.0486,              0.0002401,              0.0002401,              0.0002401,             1.7156e+09,                    351
                      7,                 4.9929,                0.07793,                  2.093,                0.02281,                0.01587,                0.00514,                 0.0014,                 4.9597,                0.03852,                 1.9872,             0.00023763,             0.00023763,             0.00023763,             1.7156e+09,                    413
                      8,                 4.8902,                0.07644,                 2.0494,                0.02181,                 0.0162,                0.00524,                0.00143,                 4.9056,                0.03801,                  1.973,             0.00023515,             0.00023515,             0.00023515,             1.7156e+09,                    475
                      9,                 4.8335,                0.07567,                 2.0278,                 0.0246,                0.01617,                0.00578,                0.00157,                 4.8497,                0.03708,                 1.9298,             0.00023268,             0.00023268,             0.00023268,             1.7156e+09,                    537
                     10,                 4.7603,                0.07466,                  2.005,                0.02686,                0.01623,                0.00646,                0.00173,                 4.7945,                0.03648,                 1.9164,              0.0002302,              0.0002302,              0.0002302,             1.7156e+09,                    600
                     11,                 4.7051,                0.07347,                 1.9922,                0.02658,                0.01883,                0.00632,                0.00167,                 4.7886,                0.03597,                  1.923,             0.00022773,             0.00022773,             0.00022773,             1.7156e+09,                    662
                     12,                 4.6753,                0.07286,                 1.9755,                0.03002,                0.01965,                0.00671,                0.00182,                 4.7662,                0.03598,                 1.8731,             0.00022525,             0.00022525,             0.00022525,             1.7156e+09,                    726
                     13,                 4.6233,                0.07209,                 1.9528,                0.02852,                0.01938,                0.00706,                0.00185,                 4.7508,                0.03547,                 1.9056,             0.00022278,             0.00022278,             0.00022278,             1.7156e+09,                    788
                     14,                  4.582,                0.07173,                 1.9422,                  0.037,                 0.0211,                0.00912,                0.00236,                 4.6747,                0.03468,                 1.8803,              0.0002203,              0.0002203,              0.0002203,             1.7156e+09,                    850
                     15,                 4.5651,                0.07114,                 1.9384,                0.02922,                0.02394,                0.00852,                0.00222,                 4.6708,                0.03476,                 1.8821,             0.00021782,             0.00021782,             0.00021782,             1.7156e+09,                    913
                     16,                 4.5185,                0.07075,                 1.9249,                0.03454,                 0.0259,                 0.0096,                0.00245,                 4.6357,                0.03434,                 1.8766,             0.00021535,             0.00021535,             0.00021535,             1.7156e+09,                    977
                     17,                 4.4901,                0.07047,                 1.9143,                0.03715,                0.02656,                0.01066,                0.00276,                 4.6002,                0.03415,                 1.8645,             0.00021288,             0.00021288,             0.00021288,             1.7156e+09,                   1042
                     18,                  4.464,                0.07032,                 1.9136,                 0.0393,                0.02753,                0.01091,                0.00284,                  4.559,                0.03395,                 1.8497,              0.0002104,              0.0002104,              0.0002104,             1.7156e+09,                   1106
                     19,                 4.4433,                0.06985,                 1.8975,                0.03507,                0.02874,                0.01054,                0.00263,                 4.6258,                0.03381,                 1.8832,             0.00020792,             0.00020792,             0.00020792,             1.7156e+09,                   1169
                     20,                 4.4245,                0.06979,                 1.8931,                0.04011,                 0.0283,                0.01188,                0.00301,                 4.5674,                0.03368,                 1.8555,             0.00020545,             0.00020545,             0.00020545,             1.7156e+09,                   1233
                     21,                 4.4192,                0.06924,                 1.8719,                0.04186,                0.03061,                0.01284,                0.00326,                 4.5345,                0.03341,                 1.8526,             0.00020298,             0.00020298,             0.00020298,             1.7156e+09,                   1297
                     22,                 4.3904,                 0.0693,                 1.8673,                0.03902,                 0.0292,                0.01191,                0.00302,                 4.5577,                 0.0335,                 1.8636,              0.0002005,              0.0002005,              0.0002005,             1.7156e+09,                   1361
                     23,                 4.3687,                0.06888,                 1.8629,                0.04157,                0.03248,                0.01393,                0.00359,                 4.5272,                0.03312,                 1.8587,             0.00019803,             0.00019803,             0.00019803,             1.7156e+09,                   1425
                     24,                  4.361,                0.06884,                 1.8601,                0.04181,                 0.0315,                 0.0138,                0.00352,                 4.5248,                0.03308,                 1.8532,             0.00019555,             0.00019555,             0.00019555,             1.7156e+09,                   1489
                     25,                 4.3437,                 0.0685,                 1.8471,                0.03976,                0.03211,                0.01286,                0.00323,                 4.5465,                 0.0331,                 1.8685,             0.00019307,             0.00019307,             0.00019307,             1.7156e+09,                   1552
                     26,                  4.331,                0.06828,                 1.8413,                0.04034,                0.03055,                0.01257,                0.00317,                 4.5641,                0.03317,                 1.8576,              0.0001906,              0.0001906,              0.0001906,             1.7156e+09,                   1616
                     27,                 4.3003,                0.06815,                  1.847,                0.04245,                0.03262,                0.01415,                0.00352,                 4.5233,                0.03288,                 1.8502,             0.00018812,             0.00018812,             0.00018812,             1.7156e+09,                   1681
                     28,                 4.2841,                0.06815,                 1.8293,                0.04576,                0.03469,                0.01618,                0.00414,                 4.4476,                0.03285,                 1.8154,             0.00018565,             0.00018565,             0.00018565,             1.7156e+09,                   1745
                     29,                 4.2689,                0.06798,                 1.8279,                0.04607,                0.03295,                0.01582,                0.00399,                 4.4722,                0.03284,                 1.8241,             0.00018318,             0.00018318,             0.00018318,             1.7156e+09,                   1808
                     30,                 4.2583,                0.06785,                 1.8247,                0.04633,                0.03401,                0.01567,                0.00397,                 4.4613,                0.03267,                 1.8375,              0.0001807,              0.0001807,              0.0001807,             1.7156e+09,                   1872
                     31,                 4.2491,                0.06764,                 1.8132,                0.04286,                0.03347,                0.01433,                0.00368,                 4.4782,                0.03278,                 1.8444,             0.00017823,             0.00017823,             0.00017823,             1.7156e+09,                   1936
                     32,                 4.2268,                0.06757,                 1.8151,                0.04539,                0.03497,                0.01569,                  0.004,                 4.4662,                0.03259,                 1.8326,             0.00017575,             0.00017575,             0.00017575,             1.7156e+09,                   1999
                     33,                 4.2287,                 0.0675,                 1.8077,                0.04721,                0.03567,                0.01638,                0.00418,                 4.4732,                0.03248,                 1.8449,             0.00017327,             0.00017327,             0.00017327,             1.7156e+09,                   2064
                     34,                  4.208,                0.06723,                 1.8043,                0.04857,                0.03526,                 0.0169,                0.00444,                 4.4342,                0.03248,                 1.8196,              0.0001708,              0.0001708,              0.0001708,             1.7156e+09,                   2128
                     35,                 4.1986,                0.06738,                 1.7987,                0.04619,                0.03661,                0.01723,                0.00465,                 4.4405,                 0.0325,                  1.834,             0.00016832,             0.00016832,             0.00016832,             1.7156e+09,                   2193
                     36,                  4.173,                0.06709,                 1.7858,                0.04735,                 0.0365,                 0.0174,                0.00463,                 4.4009,                0.03253,                 1.8104,             0.00016585,             0.00016585,             0.00016585,             1.7156e+09,                   2256
                     37,                 4.1676,                0.06708,                  1.791,                0.04761,                0.03723,                0.01783,                0.00458,                 4.4026,                0.03238,                 1.8116,             0.00016338,             0.00016338,             0.00016338,             1.7156e+09,                   2320
                     38,                 4.1608,                0.06711,                 1.7882,                0.05011,                0.03778,                0.01909,                0.00489,                 4.3974,                0.03216,                 1.8113,              0.0001609,              0.0001609,              0.0001609,             1.7156e+09,                   2385
                     39,                 4.1561,                0.06695,                 1.7819,                0.04995,                0.03697,                0.01836,                 0.0047,                 4.3882,                0.03221,                 1.8081,             0.00015843,             0.00015843,             0.00015843,             1.7156e+09,                   2449
                     40,                  4.139,                 0.0669,                 1.7813,                0.05289,                0.03845,                0.02021,                0.00527,                  4.358,                0.03211,                 1.7909,             0.00015595,             0.00015595,             0.00015595,             1.7156e+09,                   2512
                     41,                 4.1305,                0.06673,                 1.7729,                0.05262,                0.03841,                0.01973,                0.00523,                 4.3423,                0.03219,                 1.7945,             0.00015348,             0.00015348,             0.00015348,             1.7156e+09,                   2576
                     42,                 4.1304,                0.06671,                 1.7741,                0.05307,                0.03743,                0.01973,                0.00516,                 4.3355,                0.03211,                 1.7931,               0.000151,               0.000151,               0.000151,             1.7156e+09,                   2640
                     43,                 4.1167,                0.06678,                 1.7747,                0.04908,                0.03763,                0.01921,                0.00482,                 4.3886,                0.03206,                 1.8216,             0.00014853,             0.00014853,             0.00014853,             1.7156e+09,                   2703
                     44,                  4.103,                0.06649,                 1.7618,                0.05035,                0.03842,                 0.0196,                0.00504,                 4.3566,                 0.0321,                 1.7881,             0.00014605,             0.00014605,             0.00014605,             1.7156e+09,                   2767
                     45,                 4.0983,                0.06644,                 1.7654,                0.04974,                0.03974,                0.01991,                0.00523,                 4.3105,                0.03211,                 1.7662,             0.00014358,             0.00014358,             0.00014358,             1.7156e+09,                   2830
                     46,                 4.0841,                0.06646,                 1.7538,                0.05074,                0.04083,                0.02113,                0.00561,                 4.3102,                0.03206,                 1.7658,              0.0001411,              0.0001411,              0.0001411,             1.7156e+09,                   2895
                     47,                 4.0791,                0.06623,                 1.7503,                0.04994,                0.04118,                0.02091,                0.00549,                 4.3274,                0.03193,                 1.7935,             0.00013862,             0.00013862,             0.00013862,             1.7156e+09,                   2958
                     48,                 4.0778,                0.06627,                 1.7474,                0.05076,                0.04013,                0.02034,                0.00534,                 4.3461,                0.03191,                 1.7976,             0.00013615,             0.00013615,             0.00013615,             1.7156e+09,                   3021
                     49,                 4.0704,                0.06642,                 1.7483,                0.04985,                0.04101,                0.02065,                0.00542,                 4.3257,                0.03196,                 1.7913,             0.00013368,             0.00013368,             0.00013368,             1.7156e+09,                   3086
                     50,                 4.0529,                0.06616,                 1.7498,                0.05148,                0.04103,                0.02067,                0.00553,                 4.2953,                0.03191,                 1.7677,              0.0001312,              0.0001312,              0.0001312,             1.7156e+09,                   3150
                     51,                  4.047,                0.06639,                 1.7437,                0.05239,                0.04101,                0.02183,                0.00575,                 4.3022,                 0.0319,                 1.7747,             0.00012872,             0.00012872,             0.00012872,             1.7156e+09,                   3215
                     52,                 4.0434,                0.06615,                 1.7452,                0.05026,                0.04151,                0.02061,                0.00556,                 4.3018,                 0.0319,                 1.7744,             0.00012625,             0.00012625,             0.00012625,             1.7156e+09,                   3279
                     53,                 4.0484,                0.06617,                 1.7364,                0.05572,                0.04172,                0.02123,                0.00574,                 4.2963,                0.03187,                 1.7703,             0.00012377,             0.00012377,             0.00012377,             1.7156e+09,                   3344
                     54,                 4.0408,                0.06606,                 1.7311,                0.05413,                0.04196,                0.02097,                0.00555,                 4.3059,                 0.0318,                  1.776,              0.0001213,              0.0001213,              0.0001213,             1.7156e+09,                   3410
                     55,                 4.0179,                0.06595,                 1.7269,                0.05463,                0.04486,                0.02123,                 0.0057,                 4.2864,                0.03184,                 1.7735,             0.00011883,             0.00011883,             0.00011883,             1.7156e+09,                   3476
                     56,                 4.0104,                0.06585,                 1.7279,                0.05645,                0.04533,                0.02113,                0.00571,                  4.296,                0.03185,                 1.7722,             0.00011635,             0.00011635,             0.00011635,             1.7156e+09,                   3540
                     57,                 4.0109,                0.06581,                 1.7243,                0.05889,                0.04512,                0.02278,                0.00631,                  4.255,                 0.0318,                 1.7539,             0.00011387,             0.00011387,             0.00011387,             1.7156e+09,                   3605
