                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 6.0264,                 3.9781,                 3.0954,                0.00865,                0.00748,                0.00186,                0.00043,                 5.6333,                 3.2512,                 2.4958,               0.066838,             8.3112e-05,             8.3112e-05,             1.7153e+09,                     47
                      2,                 5.4788,                 3.2465,                 2.3677,                0.01279,                0.01166,                  0.003,                0.00068,                 5.5694,                  2.926,                 2.3007,               0.033572,             0.00014997,             0.00014997,             1.7153e+09,                    112
                      3,                 5.4459,                 3.0555,                 2.2832,                0.01404,                0.01467,                0.00404,                0.00099,                 5.4701,                 2.8348,                 2.2038,             0.00028897,             0.00020032,             0.00020032,             1.7153e+09,                    176
                      4,                 5.3562,                 2.9215,                 2.2413,                0.01615,                0.01825,                 0.0052,                0.00126,                 5.3712,                 2.7456,                 2.1521,             0.00017575,             0.00017575,             0.00017575,             1.7153e+09,                    238
                      5,                 5.2427,                 2.8479,                 2.1934,                0.02037,                0.01962,                0.00572,                0.00144,                 5.2628,                 2.6692,                 2.1138,             0.00017575,             0.00017575,             0.00017575,             1.7153e+09,                    301
                      6,                 5.1426,                  2.795,                 2.1545,                0.02445,                 0.0242,                0.00724,                0.00199,                 5.0606,                 2.6187,                 2.0459,               0.000151,               0.000151,               0.000151,             1.7153e+09,                    364
                      7,                 5.0401,                 2.7629,                 2.1299,                0.02455,                0.02432,                0.00786,                0.00209,                 5.0467,                 2.5975,                  2.048,             0.00012625,             0.00012625,             0.00012625,             1.7153e+09,                    426
                      8,                 4.9909,                  2.745,                 2.1049,                0.02723,                0.02495,                0.00896,                0.00236,                 4.9882,                 2.5688,                 2.0185,              0.0001015,              0.0001015,              0.0001015,             1.7153e+09,                    489
                      9,                 4.9559,                 2.7185,                 2.1006,                0.02725,                0.02701,                0.00968,                0.00257,                 4.9514,                 2.5557,                 2.0019,              7.675e-05,              7.675e-05,              7.675e-05,             1.7153e+09,                    552
                     10,                 4.9222,                 2.6998,                 2.0818,                0.02821,                0.02701,                0.01078,                0.00277,                 4.9369,                 2.5551,                 1.9966,                5.2e-05,                5.2e-05,                5.2e-05,             1.7153e+09,                    615
